Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3up18t49bq8thej74h5lgf0us,2026-05-23 19:00:00,4dtdjgnpdq9uw4sdutti0vaar,true,false,false,true,false,ALA,ALA,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,L 1-2,Enrique Sánchez Flores,13,166.00,41.0%,51.3%,13,19,4,36,46,55.2%,44.2%,49.1%,30,20,54,4,54,13.00,45,0,49.6%,5,11,1,58,92,127,86,75,219,10,1,0,0,42.6%,147,1.63,42.3%,20,13,1,2,279,33.1,16.00,-,13.0%,13.0%,26.1%,57.4%,27.2,42.6%,19,21,1
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3tkk80csb0shs70l1ucy03uok,2026-05-17 17:00:00,4dtdjgnpdq9uw4sdutti0vaar,false,true,true,false,false,ALA,ALA,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,W 1-0,Enrique Sánchez Flores,14,95.00,30.3%,36.4%,11,19,7,16,26,34.1%,28.5%,53.6%,20,7,27,0,27,4.00,24,1,48.6%,5,6,0,86,152,141,134,73,293,8,1,0,0,39.4%,97,1.06,54.3%,35,11,2,1,114,31.4,11.00,-,25.0%,12.5%,37.5%,51.8%,19.2,39.4%,7,8,1
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3n65mnr76iym0yv9wmk1ug6c4,2026-05-13 19:30:00,4dtdjgnpdq9uw4sdutti0vaar,true,false,true,false,false,ALA,ALA,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,W 1-0,Enrique Sánchez Flores,20,94.00,16.0%,20.0%,8,24,2,19,20,22.7%,25.4%,57.5%,13,9,23,3,23,6.00,16,1,56.9%,7,4,0,112,220,148,189,67,368,14,1,0,0,54.7%,104,0.72,58.6%,25,7,0,1,67,30.3,12.00,-,11.8%,0.0%,70.6%,46.2%,20.1,54.7%,9,17,2
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3logguenlwy065aa7gb1hf3tg,2026-05-09 12:00:00,4dtdjgnpdq9uw4sdutti0vaar,false,true,false,false,true,ALA,ALA,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954,D 1-1,Enrique Sánchez Flores,28,119.00,25.0%,25.0%,13,23,2,22,44,32.1%,40.3%,55.4%,26,15,39,5,39,10.00,21,0,56.8%,11,8,0,125,196,116,128,59,312,11,1,0,0,42.5%,107,2.05,48.8%,36,21,0,2,187,31.8,20.00,-,9.1%,9.1%,45.5%,25.6%,20.4,42.5%,12,12,4
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3getgrlqh307l5da5tutqt3pw,2026-05-02 16:30:00,4dtdjgnpdq9uw4sdutti0vaar,true,false,false,true,false,ALA,ALA,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,L 2-4,Enrique Sánchez Flores,19,144.00,40.0%,53.3%,14,20,5,38,49,45.7%,54.1%,59.4%,38,14,56,5,56,5.00,40,0,57.8%,7,8,0,100,171,116,123,64,287,9,1,0,1,37.3%,150,0.49,50.7%,33,22,2,2,300,32.1,17.00,-,4.0%,12.0%,28.0%,40.9%,26.3,37.3%,7,18,1
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),38dsrz394cwn8gbxbm6ahnllg,2026-04-25 12:00:00,4dtdjgnpdq9uw4sdutti0vaar,true,false,true,false,false,ALA,ALA,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,W 2-1,Enrique Sánchez Flores,16,178.00,35.0%,37.5%,17,14,5,59,70,61.7%,42.6%,48.6%,29,15,54,4,54,13.00,25,0,57.0%,2,11,0,53,105,118,105,65,223,4,1,0,1,37.8%,151,1.22,53.1%,33,24,2,1,254,30.9,11.00,-,5.3%,5.3%,42.1%,46.2%,28.5,37.8%,15,29,1
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3e4k0muk9qdqz748em5e5dtzo,2026-04-21 19:30:00,4dtdjgnpdq9uw4sdutti0vaar,false,true,false,true,false,ALA,ALA,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,L 1-2,Enrique Sánchez Flores,44,170.00,20.0%,23.3%,8,25,3,41,60,37.1%,43.4%,51.9%,33,17,62,6,62,16.00,53,0,54.9%,3,18,0,135,224,127,152,64,351,12,1,0,0,36.6%,146,1.76,45.7%,29,20,1,2,213,25.5,7.00,-,8.3%,4.2%,45.8%,7.5%,22.4,36.6%,19,19,2
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),36vy9cu402k8m0goxchkpmpzo,2026-04-11 12:00:00,4dtdjgnpdq9uw4sdutti0vaar,false,true,false,false,true,ALA,ALA,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,D 3-3,Enrique Sánchez Flores,20,155.00,24.2%,27.3%,21,32,4,45,63,47.8%,45.0%,55.3%,24,14,52,6,52,10.00,59,0,53.5%,7,10,0,84,184,146,181,65,330,7,3,0,0,39.1%,166,1.04,43.1%,29,18,2,3,337,31.6,11.00,-,24.1%,10.3%,17.2%,17.5%,21.2,39.1%,12,28,1
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),31mkjysd2ypln9u9s88ge8qhg,2026-04-05 19:00:00,4dtdjgnpdq9uw4sdutti0vaar,true,false,false,false,true,ALA,ALA,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,D 2-2,Enrique Sánchez Flores,9,160.00,38.5%,50.0%,14,16,0,41,39,55.6%,42.9%,48.8%,27,14,45,2,45,11.00,39,1,57.0%,3,6,0,61,123,143,113,92,266,3,2,0,0,34.4%,128,2.07,60.5%,18,14,3,4,200,27.8,11.00,-,14.3%,10.7%,28.6%,21.6%,33.5,34.4%,18,27,1
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3036nph9xhmltiks40aso8lck,2026-03-22 15:15:00,4dtdjgnpdq9uw4sdutti0vaar,false,true,true,false,false,ALA,ALA,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,W 4-3,Enrique Sánchez Flores,31,173.00,28.0%,32.0%,17,15,10,38,42,46.9%,43.4%,49.8%,46,32,84,8,84,7.00,38,1,52.8%,9,7,1,93,160,134,122,79,294,7,4,0,0,34.7%,140,1.94,53.1%,23,19,3,3,289,32.5,14.00,-,9.4%,25.0%,18.8%,26.7%,22.8,34.7%,14,19,3
