Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3wz71k4469ny273fw5c1yavx0,2026-05-23 19:00:00,3czravw89omgc9o4s0w3l1bg5,false,true,false,true,false,ATH,ATH,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,L 2-4,Ernesto Valverde,21,76.00,8.8%,26.5%,14,15,4,18,38,38.1%,20.3%,51.7%,11,2,17,1,17,5.00,33,0,53.6%,6,8,0,60,137,186,194,69,323,6,2,0,0,41.7%,106,0.81,51.5%,9,11,1,2,184,32.7,9.00,-,26.7%,13.3%,33.3%,5.7%,13.8,41.7%,8,12,3
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3qyh2orw2524xs3k60h0cxxxw,2026-05-17 17:00:00,3czravw89omgc9o4s0w3l1bg5,true,false,false,false,true,ATH,ATH,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,D 1-1,Ernesto Valverde,5,283.00,38.7%,48.4%,31,15,9,83,89,78.7%,36.7%,31.8%,35,26,107,13,107,17.00,91,1,54.5%,5,10,0,30,73,182,112,113,255,1,1,0,0,30.1%,159,2.49,60.0%,19,43,5,9,310,36.9,17.00,-,17.8%,8.9%,17.8%,28.2%,23.2,30.1%,27,42,3
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3p1xhxrl565qq3x5swdj977dg,2026-05-13 17:00:00,3czravw89omgc9o4s0w3l1bg5,false,true,false,true,false,ATH,ATH,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,L 0-2,Ernesto Valverde,16,118.00,27.6%,31.0%,12,20,5,28,27,38.5%,35.9%,60.3%,18,12,29,5,29,10.00,34,0,49.7%,8,2,0,72,150,143,150,71,293,8,0,0,0,48.7%,134,0.82,50.0%,33,10,6,4,127,34.4,17.00,-,19.0%,19.0%,19.0%,14.8%,17.6,48.7%,11,28,1
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3jromoqjf4ywqhz6gv1xpo0lw,2026-05-10 14:15:00,3czravw89omgc9o4s0w3l1bg5,true,false,false,true,false,ATH,ATH,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191,L 0-1,Ernesto Valverde,8,214.00,43.2%,48.6%,19,15,6,43,67,70.2%,42.8%,43.6%,17,16,36,2,36,9.00,64,0,52.8%,3,7,0,47,87,173,101,112,260,3,0,0,0,31.5%,129,0.93,57.1%,25,26,2,7,335,38.1,16.00,-,17.1%,11.4%,14.3%,26.5%,28.7,31.5%,14,34,1
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3getgrlqh307l5da5tutqt3pw,2026-05-02 16:30:00,3czravw89omgc9o4s0w3l1bg5,false,true,true,false,false,ATH,ATH,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,W 4-2,Ernesto Valverde,25,173.00,32.3%,32.3%,19,18,3,49,72,54.3%,45.9%,49.3%,28,23,61,4,61,4.00,54,0,58.3%,6,6,0,84,139,156,125,86,295,3,3,1,0,34.4%,139,0.97,63.8%,41,21,3,4,235,36.1,17.00,-,10.3%,7.7%,10.3%,30.9%,22.6,34.4%,9,23,1
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3achbi56yevn41ahu7amhx638,2026-04-25 19:00:00,3czravw89omgc9o4s0w3l1bg5,false,true,false,true,false,ATH,ATH,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,L 2-3,Ernesto Valverde,19,172.00,36.6%,58.5%,23,13,6,55,69,52.7%,41.6%,49.2%,34,13,52,1,52,9.00,57,1,51.3%,8,12,1,61,133,200,158,114,333,7,2,0,0,33.0%,152,0.80,40.0%,28,21,4,7,273,34.8,26.00,-,14.3%,14.3%,20.0%,24.8%,22.2,33.0%,12,26,3
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3c9hm7srm769qr9qfg4prhlhw,2026-04-21 17:00:00,3czravw89omgc9o4s0w3l1bg5,true,false,true,false,false,ATH,ATH,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,W 1-0,Ernesto Valverde,19,114.00,30.8%,35.9%,15,18,5,21,32,39.9%,32.6%,56.5%,20,13,31,3,31,5.00,23,0,51.8%,6,6,0,59,110,183,128,106,293,5,1,0,0,38.6%,112,0.54,56.5%,26,8,2,1,139,30.8,14.00,-,8.3%,20.8%,25.0%,66.6%,21.8,38.6%,7,16,0
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),34zj5er2za9qrjro5eq94ack4,2026-04-12 19:00:00,3czravw89omgc9o4s0w3l1bg5,true,false,false,true,false,ATH,ATH,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,L 1-2,Ernesto Valverde,15,274.00,47.3%,60.0%,29,14,10,85,89,76.8%,45.3%,35.6%,21,22,69,4,69,9.00,66,0,47.8%,8,7,0,43,78,185,88,132,263,4,1,0,0,30.2%,169,1.16,58.3%,17,26,3,12,326,33.7,30.00,-,17.1%,7.3%,14.6%,14.5%,28.1,30.2%,18,48,1
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),33vcbxcbnojlxdm39q4elkutw,2026-04-05 12:00:00,3czravw89omgc9o4s0w3l1bg5,false,true,false,true,false,ATH,ATH,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,L 0-2,Ernesto Valverde,16,163.00,52.4%,61.9%,19,23,2,66,116,66.5%,68.0%,50.5%,30,30,68,9,68,5.00,69,0,56.4%,3,5,0,62,115,100,85,68,215,7,0,0,0,35.2%,185,0.57,48.4%,34,37,3,1,457,34.0,29.00,-,13.2%,15.8%,7.9%,11.0%,22.4,35.2%,5,21,1
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2xuajcyluofrmnt1siit15jbo,2026-03-22 17:30:00,3czravw89omgc9o4s0w3l1bg5,true,false,true,false,false,ATH,ATH,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185,W 2-1,Ernesto Valverde,16,201.00,26.7%,28.9%,14,29,4,44,55,50.6%,31.1%,44.9%,30,14,46,2,46,7.00,64,0,47.8%,7,12,0,66,128,193,150,105,321,8,1,0,1,38.5%,138,1.26,48.8%,22,19,1,1,203,29.5,25.00,-,16.2%,29.7%,5.4%,76.5%,18.4,38.5%,11,18,2
