Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3xcjz4isjg101zf0d40lxkglw,2026-05-24 19:00:00,4ku8o6uf87yd8iecdalipo6wd,false,true,false,true,false,ATM,ATM,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,L 1-5,Diego Simeone,26,236.00,29.7%,37.8%,18,15,5,81,82,57.6%,46.8%,46.1%,16,19,59,12,59,5.00,92,0,48.7%,6,7,0,73,121,153,89,112,274,4,1,0,0,28.0%,148,1.16,42.9%,20,28,3,2,322,32.0,7.00,-,6.5%,6.5%,19.4%,8.7%,26.6,28.0%,9,26,4
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3rbvenobhbiyu2oz1067g87x0,2026-05-17 17:00:00,4ku8o6uf87yd8iecdalipo6wd,true,false,true,false,false,ATM,ATM,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893,W 1-0,Diego Simeone,51,153.00,23.5%,35.3%,15,22,5,35,62,34.1%,61.3%,62.8%,42,12,57,7,57,13.00,55,1,56.6%,5,10,0,164,235,102,111,62,337,10,1,0,0,29.2%,124,1.97,56.1%,38,20,2,2,306,33.1,11.00,-,4.3%,17.4%,13.0%,68.5%,23.3,29.2%,17,23,2
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3pfak8vavaxumsfvxz2yo48wk,2026-05-12 19:30:00,4ku8o6uf87yd8iecdalipo6wd,false,true,true,false,false,ATM,ATM,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,W 2-1,Diego Simeone,47,86.00,28.0%,28.0%,12,22,3,34,31,28.0%,56.7%,67.3%,32,6,44,1,44,3.00,44,1,56.2%,8,2,0,150,221,70,99,42,291,11,2,0,0,37.7%,135,1.56,59.2%,35,18,1,0,221,37.5,13.00,-,33.3%,16.7%,11.1%,59.7%,23.8,37.7%,5,12,3
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3k57p4cr98z0cknr4b39kaivo,2026-05-09 16:30:00,4ku8o6uf87yd8iecdalipo6wd,true,false,false,true,false,ATM,ATM,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,L 0-1,Diego Simeone,3,260.00,44.4%,55.6%,29,13,7,80,77,66.3%,47.2%,41.8%,44,34,117,14,117,17.00,93,0,52.0%,8,10,0,39,96,162,119,100,258,3,0,0,0,27.6%,155,2.18,69.7%,19,26,0,8,506,30.5,17.00,-,9.1%,9.1%,22.7%,35.6%,34.5,27.6%,20,41,4
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3indehxonm3sorl5dn4ojvj84,2026-05-02 14:15:00,4ku8o6uf87yd8iecdalipo6wd,false,true,true,false,false,ATM,ATM,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191,W 2-0,Diego Simeone,22,128.00,33.3%,44.4%,18,25,6,34,50,43.6%,49.6%,59.1%,25,10,39,6,39,12.00,59,0,52.4%,7,4,0,75,169,152,176,70,321,12,1,0,1,29.9%,127,2.04,59.4%,32,12,1,1,310,34.5,32.00,-,14.3%,19.0%,14.3%,41.5%,19.3,29.9%,20,14,3
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3achbi56yevn41ahu7amhx638,2026-04-25 19:00:00,4ku8o6uf87yd8iecdalipo6wd,true,false,true,false,false,ATM,ATM,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,W 3-2,Diego Simeone,22,119.00,22.2%,37.0%,18,25,2,58,60,47.3%,58.4%,63.7%,46,17,68,11,68,3.00,30,0,61.0%,3,1,0,105,182,108,137,47,289,7,3,0,0,30.6%,170,2.09,57.3%,45,18,0,3,409,32.7,10.00,-,13.6%,9.1%,18.2%,55.9%,20.1,30.6%,6,13,6
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ehzlcos9xo56ol70wttwmu50,2026-04-22 17:00:00,4ku8o6uf87yd8iecdalipo6wd,false,true,false,true,false,ATM,ATM,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954,L 2-3,Diego Simeone,29,63.00,34.5%,37.9%,5,15,2,22,30,18.6%,42.3%,63.4%,28,13,44,4,44,1.00,20,0,46.3%,3,3,0,155,225,96,122,44,321,9,2,0,0,39.8%,103,1.22,58.2%,36,13,1,0,150,31.8,9.00,-,20.0%,26.7%,6.7%,11.5%,17.3,39.8%,6,6,2
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3799288svdt7jtyvzloemtt04,2026-04-11 19:00:00,4ku8o6uf87yd8iecdalipo6wd,false,true,false,true,false,ATM,ATM,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,L 1-2,Nelson Vivas,30,172.00,45.2%,54.8%,12,15,2,59,95,67.4%,67.8%,52.2%,24,12,49,2,49,10.00,70,0,48.8%,8,3,0,63,100,98,65,70,198,6,1,0,0,29.2%,163,0.84,41.3%,26,28,1,7,494,37.0,20.00,-,7.1%,7.1%,7.1%,14.5%,30.4,29.2%,13,21,1
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),31zxsexwgw81km23uib95otuc,2026-04-04 19:00:00,4ku8o6uf87yd8iecdalipo6wd,true,false,false,true,false,ATM,ATM,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,L 1-2,Diego Simeone,40,66.00,15.4%,19.2%,5,20,3,17,42,20.0%,46.0%,70.6%,37,6,46,5,46,3.00,13,0,49.5%,2,9,0,147,221,116,135,55,337,9,1,0,0,32.6%,100,1.00,52.7%,36,7,0,1,214,33.3,14.00,-,20.0%,0.0%,0.0%,24.6%,20.6,32.6%,6,6,2
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2wpgnr91h1yid0zf4zu0y5afo,2026-03-22 20:00:00,4ku8o6uf87yd8iecdalipo6wd,false,true,false,true,false,ATM,ATM,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,L 2-3,Diego Simeone,23,171.00,15.4%,30.8%,10,25,3,47,55,44.6%,50.6%,51.0%,31,11,56,5,56,11.00,83,1,45.7%,1,5,0,101,162,86,93,54,248,7,1,0,1,26.7%,135,1.02,50.9%,29,25,0,4,350,35.2,9.00,-,11.1%,0.0%,16.7%,19.3%,23.4,26.7%,13,15,2
