Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3xq4alyjtlltd6j11gckoxvkk,2026-05-23 19:00:00,agh9ifb2mw3ivjusgedj7c3fe,false,true,false,true,false,BAR,BAR,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191,L 1-3,Hansi Flick,26,153.00,26.7%,43.3%,15,15,1,63,71,75.1%,76.1%,56.6%,41,16,62,6,62,8.00,45,0,48.8%,0,8,0,61,87,69,53,42,156,9,1,0,0,24.4%,167,1.18,56.6%,26,21,4,4,549,31.3,11.00,-,10.3%,3.4%,13.8%,31.6%,41.4,24.4%,11,20,4
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3rpa9gg887sphjnou8h1uv6s4,2026-05-17 19:15:00,agh9ifb2mw3ivjusgedj7c3fe,true,false,true,false,false,BAR,BAR,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185,W 3-1,Hansi Flick,18,204.00,23.3%,46.7%,21,18,7,70,87,64.5%,61.6%,54.8%,51,16,84,11,84,11.00,92,1,51.6%,9,6,1,65,109,145,102,87,254,6,2,0,1,26.7%,188,1.12,60.0%,18,19,1,2,550,32.1,20.00,-,4.0%,8.0%,16.0%,76.9%,30.6,26.7%,15,12,2
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3n65mnr76iym0yv9wmk1ug6c4,2026-05-13 19:30:00,agh9ifb2mw3ivjusgedj7c3fe,false,true,false,true,false,BAR,BAR,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,L 0-1,Hansi Flick,17,197.00,35.3%,44.1%,18,14,4,99,94,77.3%,74.6%,48.5%,40,31,77,6,77,8.00,101,0,57.4%,1,7,1,54,88,75,61,48,163,4,0,0,0,27.7%,187,0.60,60.0%,34,24,4,2,527,35.4,26.00,-,5.3%,18.4%,10.5%,24.1%,37.1,27.7%,8,16,0
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3kigmlbqhunbi6gixcr7cz6z8,2026-05-10 19:00:00,agh9ifb2mw3ivjusgedj7c3fe,true,false,true,false,false,BAR,BAR,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,W 2-0,Hansi Flick,21,112.00,21.7%,30.4%,17,9,7,49,50,63.8%,52.6%,59.5%,53,14,74,7,74,7.00,33,0,53.6%,6,5,0,45,94,125,106,68,219,6,1,0,1,28.2%,149,1.01,46.8%,21,18,1,0,428,28.0,11.00,-,4.8%,4.8%,14.3%,86.1%,32.8,28.2%,10,13,3
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3j0vwkubszbtkr21f7upb4il0,2026-05-02 19:00:00,agh9ifb2mw3ivjusgedj7c3fe,false,true,true,false,false,BAR,BAR,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,W 2-1,Hansi Flick,23,281.00,33.3%,40.7%,13,12,9,84,77,74.7%,62.4%,40.7%,30,25,85,11,85,9.00,110,1,53.2%,6,2,0,59,119,113,95,78,232,2,1,1,0,26.8%,177,1.29,55.8%,41,24,1,6,559,34.3,14.00,-,8.3%,5.6%,16.7%,47.5%,34.7,26.8%,13,20,3
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3apuzcf26kfvpej8uc98l2n10,2026-04-25 14:15:00,agh9ifb2mw3ivjusgedj7c3fe,false,true,true,false,false,BAR,BAR,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,W 2-0,Hansi Flick,10,149.00,42.9%,47.6%,13,11,5,65,93,71.1%,76.0%,53.4%,38,17,76,10,76,11.00,68,0,42.6%,6,3,1,40,73,72,71,34,145,9,2,0,0,25.4%,156,1.79,65.5%,38,20,2,2,460,32.8,18.00,-,3.8%,7.7%,7.7%,65.1%,34.8,25.4%,13,14,4
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3cmwlyivmqd5wesvf6o13mtjo,2026-04-22 19:30:00,agh9ifb2mw3ivjusgedj7c3fe,true,false,true,false,false,BAR,BAR,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,W 1-0,Hansi Flick,11,219.00,33.3%,33.3%,24,12,3,73,69,65.9%,55.7%,48.4%,62,24,120,14,120,7.00,111,0,56.9%,8,4,0,74,130,139,114,81,269,2,1,0,0,23.8%,169,1.30,55.7%,30,23,2,0,541,34.5,29.00,-,16.7%,8.3%,4.2%,69.2%,36.6,23.8%,10,13,2
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),35cufmoxi0kf40kxn49gj71g4,2026-04-11 16:30:00,agh9ifb2mw3ivjusgedj7c3fe,true,false,true,false,false,BAR,BAR,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,W 4-1,Hansi Flick,21,174.00,35.3%,44.1%,15,14,5,60,103,79.7%,72.8%,54.0%,37,17,73,6,73,12.00,59,1,56.0%,0,4,1,47,77,105,77,58,182,9,3,0,1,23.8%,174,2.73,69.7%,36,30,1,0,571,35.2,25.00,-,12.5%,9.4%,12.5%,88.8%,41.3,23.8%,20,13,4
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),31zxsexwgw81km23uib95otuc,2026-04-04 19:00:00,agh9ifb2mw3ivjusgedj7c3fe,false,true,true,false,false,BAR,BAR,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,W 2-1,Hansi Flick,13,297.00,37.1%,42.9%,22,13,2,81,81,80.0%,54.0%,40.7%,34,21,76,10,76,17.00,117,0,56.1%,2,3,0,37,72,119,73,81,191,3,2,0,0,24.7%,156,2.52,58.5%,16,17,1,2,492,32.9,41.00,-,10.5%,10.5%,15.8%,37.6%,44.2,24.7%,22,13,5
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2y7mqtoumr3710vgfit7046j8,2026-03-22 13:00:00,agh9ifb2mw3ivjusgedj7c3fe,true,false,true,false,false,BAR,BAR,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,W 1-0,Hansi Flick,20,147.00,41.9%,48.4%,23,20,6,46,68,62.8%,58.4%,55.0%,35,15,61,8,61,10.00,47,1,46.7%,9,6,0,50,102,118,100,70,220,5,1,0,0,30.6%,148,1.39,61.2%,40,29,1,1,373,34.2,38.00,-,14.8%,0.0%,25.9%,77.0%,27.0,30.6%,15,15,3
11,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2v65xqf9xnj8r2gxj9akbtqfo,2026-03-15 15:15:00,agh9ifb2mw3ivjusgedj7c3fe,true,false,true,false,false,BAR,BAR,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,W 5-2,Hansi Flick,20,126.00,25.9%,44.4%,20,14,9,66,97,66.9%,57.6%,60.6%,41,18,63,7,63,5.00,52,0,50.0%,4,7,0,47,75,134,80,82,209,2,5,0,0,28.1%,173,3.66,62.1%,25,30,0,2,473,31.5,22.00,-,30.0%,15.0%,10.0%,90.9%,33.5,28.1%,13,9,7
