Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3vhe91racce86uhq0b3mw29sk,2026-05-23 19:00:00,6f27yvbqcngegwsg2ozxxdj4,true,false,true,false,false,CEL,CEL,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,W 1-0,Claudio Giráldez,18,129.00,36.0%,48.0%,20,22,4,52,73,52.7%,55.5%,57.1%,69,26,114,18,114,9.00,63,1,48.4%,6,6,1,78,123,115,100,60,238,9,1,0,0,31.5%,167,1.59,60.7%,24,22,0,0,322,33.7,16.00,-,14.8%,3.7%,7.4%,63.9%,26.3,31.5%,12,8,3
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3qyh2orw2524xs3k60h0cxxxw,2026-05-17 17:00:00,6f27yvbqcngegwsg2ozxxdj4,false,true,false,false,true,CEL,CEL,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,D 1-1,Claudio Giráldez,50,55.00,33.3%,36.7%,14,20,2,21,32,21.3%,63.3%,76.8%,68,10,84,9,84,2.00,26,0,46.6%,4,3,0,132,228,75,141,30,303,16,0,1,0,36.0%,141,0.15,57.0%,41,11,0,1,290,33.2,14.00,-,20.0%,0.0%,40.0%,28.2%,19.8,36.0%,3,3,1
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3nxmo9ajqnht9425i3n9szevo,2026-05-12 17:00:00,6f27yvbqcngegwsg2ozxxdj4,true,false,false,true,false,CEL,CEL,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,L 2-3,Claudio Giráldez,21,171.00,33.3%,38.1%,11,11,2,60,83,54.8%,60.2%,53.1%,45,28,110,16,110,7.00,84,1,46.2%,4,7,0,78,130,110,87,75,240,10,2,0,0,28.0%,163,2.18,42.4%,10,22,2,3,351,32.0,15.00,-,3.4%,10.3%,6.9%,43.6%,32.5,28.0%,11,16,4
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3k57p4cr98z0cknr4b39kaivo,2026-05-09 16:30:00,6f27yvbqcngegwsg2ozxxdj4,false,true,true,false,false,CEL,CEL,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,W 1-0,Claudio Giráldez,37,75.00,26.1%,26.1%,20,19,2,48,42,33.7%,52.8%,65.6%,65,19,94,6,94,2.00,34,0,42.7%,8,4,0,111,177,96,114,48,273,13,0,1,0,30.1%,141,0.13,52.5%,26,13,0,0,207,34.2,10.00,-,11.8%,23.5%,0.0%,33.9%,20.6,30.1%,3,0,1
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3h5n4m7klbnl9dx9yx9w5zk7o,2026-05-03 12:00:00,6f27yvbqcngegwsg2ozxxdj4,true,false,true,false,false,CEL,CEL,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954,W 3-1,Claudio Giráldez,19,100.00,12.1%,27.3%,13,22,5,27,43,26.0%,41.4%,59.5%,49,23,69,18,69,3.00,33,1,49.3%,2,5,0,106,206,136,169,67,342,11,2,0,1,41.5%,127,1.05,50.0%,37,11,0,0,208,30.7,15.00,-,25.0%,10.0%,40.0%,78.7%,18.5,41.5%,6,6,3
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3b3hklhztdbiyiwxo9qwh80lw,2026-04-26 19:00:00,6f27yvbqcngegwsg2ozxxdj4,false,true,false,true,false,CEL,CEL,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,L 1-2,Claudio Giráldez,32,227.00,19.4%,29.0%,15,24,2,78,99,64.1%,43.7%,47.2%,54,29,127,16,127,8.00,87,0,50.0%,6,6,0,65,103,194,106,126,297,3,1,0,0,25.6%,139,1.98,58.3%,15,24,2,2,395,32.6,13.00,-,5.0%,7.5%,15.0%,4.8%,32.2,25.6%,9,21,5
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3cmwlyivmqd5wesvf6o13mtjo,2026-04-22 19:30:00,6f27yvbqcngegwsg2ozxxdj4,false,true,false,true,false,CEL,CEL,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,L 0-1,Claudio Giráldez,24,130.00,26.9%,30.8%,15,21,2,41,39,34.1%,44.3%,58.6%,63,29,104,16,104,3.00,65,0,45.7%,6,3,0,100,197,162,181,78,359,6,0,0,0,26.7%,121,0.80,54.7%,22,10,1,1,258,32.2,21.00,-,11.1%,11.1%,33.3%,12.8%,29.1,26.7%,6,10,2
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),35q4pov6mhtlujc68n1nz7bpw,2026-04-12 16:30:00,6f27yvbqcngegwsg2ozxxdj4,true,false,false,true,false,CEL,CEL,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,L 0-3,Claudio Giráldez,13,269.00,54.1%,56.8%,23,18,6,83,84,76.2%,58.9%,43.5%,70,36,149,15,149,7.00,127,0,54.9%,5,13,0,39,102,167,126,104,269,6,0,0,0,25.9%,178,0.77,53.2%,25,15,2,1,438,32.9,22.00,-,9.4%,9.4%,6.3%,12.0%,30.4,25.9%,9,17,3
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),30gnuehy43on5orc9n3sh8pw4,2026-04-05 14:15:00,6f27yvbqcngegwsg2ozxxdj4,false,true,true,false,false,CEL,CEL,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191,W 3-2,Claudio Giráldez,22,179.00,31.3%,46.9%,18,17,6,63,61,63.5%,52.0%,46.6%,45,36,102,16,102,5.00,73,2,54.8%,5,3,1,85,114,111,75,65,225,9,3,0,0,28.8%,144,1.24,53.8%,25,17,4,2,362,35.8,17.00,-,19.0%,4.8%,4.8%,43.5%,23.6,28.8%,9,9,2
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3036nph9xhmltiks40aso8lck,2026-03-22 15:15:00,6f27yvbqcngegwsg2ozxxdj4,true,false,false,true,false,CEL,CEL,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,L 3-4,Claudio Giráldez,23,176.00,24.1%,34.5%,13,17,2,49,71,53.1%,56.6%,49.9%,62,21,115,12,115,7.00,87,1,54.9%,3,5,0,95,142,131,114,64,273,13,2,1,0,27.1%,137,1.84,61.5%,24,24,2,0,360,34.3,24.00,-,4.0%,16.0%,16.0%,56.5%,30.2,27.1%,12,11,3
