Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3y3gz2ufpcbu5vkgph7jyg74k,2026-05-23 19:00:00,4yg9ttzw0m51048doksv8uq5r,false,true,false,false,true,ELC,ELC,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893,D 1-1,Jon Lopez,25,125.00,32.7%,40.8%,14,19,5,24,36,45.9%,42.9%,55.9%,25,14,41,0,41,1.00,42,0,54.1%,6,9,0,86,133,130,83,94,263,6,0,1,0,43.9%,143,0.18,61.0%,34,12,1,3,149,34.3,16.00,-,11.1%,11.1%,38.9%,27.3%,22.8,43.9%,3,11,1
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3s2q5sph3bm3auk1b8odb493o,2026-05-17 17:00:00,4yg9ttzw0m51048doksv8uq5r,true,false,true,false,false,ELC,ELC,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,W 1-0,Jon Lopez,10,154.00,51.4%,54.3%,12,21,4,34,53,56.3%,61.2%,56.9%,30,19,49,5,49,8.00,27,0,51.1%,4,4,0,47,98,90,86,55,188,3,1,0,0,33.3%,138,0.66,50.7%,48,12,2,2,283,36.2,26.00,-,24.0%,16.0%,20.0%,84.0%,26.0,33.3%,10,16,2
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3njoj8cm40koxt8u94a1h3yfo,2026-05-12 18:00:00,4yg9ttzw0m51048doksv8uq5r,false,true,false,true,false,ELC,ELC,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185,L 1-2,Eder Sarabia,38,168.00,33.3%,40.0%,17,19,3,57,69,56.1%,53.6%,51.4%,39,15,70,5,70,4.00,59,0,45.8%,6,11,0,71,117,125,105,66,242,10,0,0,1,30.5%,165,0.40,55.4%,21,18,2,4,355,31.6,27.00,-,23.1%,11.5%,15.4%,13.2%,31.3,30.5%,8,17,0
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3logguenlwy065aa7gb1hf3tg,2026-05-09 12:00:00,4yg9ttzw0m51048doksv8uq5r,true,false,false,false,true,ELC,ELC,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,D 1-1,Eder Sarabia,23,220.00,20.0%,33.3%,19,18,2,53,91,67.9%,59.7%,44.1%,30,21,70,2,70,13.00,66,0,53.8%,4,4,1,64,107,80,81,42,187,8,1,0,0,31.4%,145,1.39,53.0%,44,42,3,3,371,36.1,17.00,-,31.4%,5.7%,2.9%,34.5%,29.6,31.4%,16,31,4
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3h5n4m7klbnl9dx9yx9w5zk7o,2026-05-03 12:00:00,4yg9ttzw0m51048doksv8uq5r,false,true,false,true,false,ELC,ELC,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,L 1-3,Eder Sarabia,14,215.00,37.5%,50.0%,17,12,5,54,81,74.0%,58.6%,44.2%,56,23,104,15,104,10.00,99,0,56.0%,11,3,0,56,103,126,100,73,229,4,1,0,0,27.9%,166,1.71,54.1%,21,22,4,2,375,39.2,24.00,-,18.8%,9.4%,12.5%,8.1%,29.5,27.9%,15,19,3
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3bihehy0y8mtxizg74rkkuh3o,2026-04-26 14:15:00,4yg9ttzw0m51048doksv8uq5r,false,true,true,false,false,ELC,ELC,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,W 2-1,Eder Sarabia,19,103.00,32.1%,39.3%,19,10,3,21,22,40.9%,38.4%,54.5%,29,14,41,1,41,1.00,35,1,50.6%,5,8,0,88,148,107,117,50,255,9,1,1,0,37.8%,115,0.40,62.2%,44,8,1,4,138,31.1,22.00,-,11.8%,11.8%,47.1%,75.3%,23.5,37.8%,4,7,1
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ehzlcos9xo56ol70wttwmu50,2026-04-22 17:00:00,4yg9ttzw0m51048doksv8uq5r,true,false,true,false,false,ELC,ELC,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,W 3-2,Eder Sarabia,8,335.00,30.6%,38.9%,14,15,4,87,99,81.4%,57.7%,34.8%,23,24,74,11,74,10.00,133,1,47.6%,1,6,0,30,88,108,86,80,196,6,3,0,0,26.6%,174,2.78,66.7%,32,34,1,4,424,34.4,18.00,-,6.3%,3.1%,18.8%,65.8%,34.3,26.6%,14,33,7
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),363nbiu36arb8us8vuxlizqc4,2026-04-11 14:15:00,4yg9ttzw0m51048doksv8uq5r,true,false,true,false,false,ELC,ELC,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191,W 1-0,Eder Sarabia,30,139.00,17.2%,20.7%,20,18,1,42,58,57.5%,56.5%,56.3%,21,13,43,8,43,5.00,42,0,49.3%,9,5,0,71,118,114,103,58,232,10,1,0,0,32.1%,142,0.71,62.5%,35,27,1,2,299,32.4,19.00,-,20.0%,16.0%,40.0%,55.3%,25.9,32.1%,7,12,2
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),30u02n6fw3bxc2lk51wv1cowk,2026-04-03 19:00:00,4yg9ttzw0m51048doksv8uq5r,false,true,false,true,false,ELC,ELC,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,L 0-1,Eder Sarabia,27,133.00,21.2%,27.3%,10,18,1,23,28,37.4%,46.1%,58.8%,19,13,36,4,36,9.00,34,0,39.7%,3,6,0,79,129,105,82,73,234,12,0,0,0,42.4%,122,0.39,57.7%,37,12,3,0,171,29.2,24.00,-,25.0%,16.7%,16.7%,16.1%,28.2,42.4%,9,10,2
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2yl5s151fw9kjhq3j3dx1g2l0,2026-03-21 13:00:00,4yg9ttzw0m51048doksv8uq5r,true,false,true,false,false,ELC,ELC,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,W 2-1,Eder Sarabia,28,135.00,31.3%,40.6%,21,20,1,30,60,40.9%,52.8%,58.6%,43,15,64,12,64,8.00,25,0,54.8%,7,11,0,102,171,138,131,76,309,5,2,0,0,35.3%,124,1.60,59.3%,53,19,1,2,262,30.6,23.00,-,20.8%,12.5%,16.7%,54.8%,21.8,35.3%,13,14,2
