Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3vur4jhid3p73hq5qz0t48bv8,2026-05-23 19:00:00,c8llrezkm3b3op4afrou6b487,true,false,false,false,true,ESP,ESP,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,D 1-1,José Manuel González Álvarez,13,105.00,40.6%,43.8%,17,22,4,40,51,44.0%,53.4%,60.9%,58,17,77,7,77,7.00,34,0,53.2%,7,6,0,66,140,131,136,69,271,6,1,0,0,36.0%,146,2.41,56.1%,34,12,1,5,285,32.0,24.00,-,29.6%,14.8%,7.4%,23.4%,21.6,36.0%,17,11,4
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ty1scc4fcein2b664ssgnwus,2026-05-17 17:00:00,c8llrezkm3b3op4afrou6b487,false,true,true,false,false,ESP,ESP,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,W 2-1,José Manuel González Álvarez,52,78.00,31.3%,34.4%,13,14,1,18,35,25.4%,38.8%,68.7%,33,9,42,1,42,3.00,15,2,52.9%,5,2,0,119,201,110,135,57,311,8,2,0,0,45.2%,114,0.78,52.8%,43,10,2,3,137,33.5,13.00,-,29.4%,5.9%,29.4%,44.6%,16.6,45.2%,7,9,1
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3p1xhxrl565qq3x5swdj977dg,2026-05-13 17:00:00,c8llrezkm3b3op4afrou6b487,true,false,true,false,false,ESP,ESP,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,W 2-0,José Manuel González Álvarez,20,145.00,45.5%,59.1%,21,13,3,55,60,61.5%,64.1%,58.6%,30,20,50,6,50,7.00,42,1,59.3%,8,4,0,70,109,119,78,80,228,5,1,0,1,34.9%,172,0.75,52.1%,38,16,1,1,331,33.4,12.00,-,20.0%,16.7%,16.7%,59.2%,23.5,34.9%,12,25,1
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3mfg133s0kwtlbnaes34dxhxw,2026-05-09 14:15:00,c8llrezkm3b3op4afrou6b487,false,true,false,true,false,ESP,ESP,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,L 1-2,José Manuel González Álvarez,34,88.00,27.0%,37.8%,16,19,1,15,25,34.5%,37.3%,57.0%,28,7,33,2,33,6.00,15,0,50.3%,11,10,1,80,153,150,142,81,303,8,1,0,0,55.7%,128,0.61,47.0%,27,12,3,3,107,31.4,13.00,-,27.3%,0.0%,36.4%,25.2%,21.9,55.7%,10,17,1
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3hj39lcguw2pwxyqlq86jqntg,2026-05-03 19:00:00,c8llrezkm3b3op4afrou6b487,true,false,false,true,false,ESP,ESP,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,L 0-2,José Manuel González Álvarez,32,138.00,25.9%,29.6%,14,25,3,31,41,35.8%,32.1%,58.3%,17,10,28,1,28,14.00,45,0,47.8%,9,10,0,77,146,153,144,78,299,3,0,0,0,37.4%,114,1.21,53.3%,16,20,2,4,219,32.3,17.00,-,16.0%,32.0%,28.0%,18.1%,22.0,37.4%,17,22,1
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),394u1x6d00xy857x0kzh48oic,2026-04-27 19:00:00,c8llrezkm3b3op4afrou6b487,true,false,false,false,true,ESP,ESP,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,D 0-0,José Manuel González Álvarez,13,116.00,35.1%,40.5%,18,10,6,36,43,50.6%,49.3%,59.7%,31,18,45,5,45,6.00,32,0,52.7%,5,5,0,58,108,141,105,86,249,9,0,0,0,37.4%,138,0.72,58.2%,31,12,2,4,274,33.0,15.00,-,11.1%,11.1%,22.2%,33.7%,23.5,37.4%,9,23,2
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3f8qbmbzrg2o195netsozsmxg,2026-04-23 18:00:00,c8llrezkm3b3op4afrou6b487,false,true,false,true,false,ESP,ESP,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,L 0-1,José Manuel González Álvarez,23,134.00,35.0%,40.0%,22,15,5,35,24,55.3%,43.1%,50.4%,25,10,38,2,38,8.00,40,0,48.4%,7,6,1,60,106,148,112,82,254,12,0,0,0,44.1%,130,1.96,49.1%,30,7,2,8,193,32.5,12.00,-,14.3%,14.3%,33.3%,17.7%,23.7,44.1%,15,25,2
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),35cufmoxi0kf40kxn49gj71g4,2026-04-11 16:30:00,c8llrezkm3b3op4afrou6b487,false,true,false,true,false,ESP,ESP,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,L 1-4,José Manuel González Álvarez,35,84.00,25.0%,29.2%,7,17,1,27,23,20.3%,27.2%,61.7%,28,7,41,6,41,8.00,17,0,51.7%,6,3,0,90,202,167,209,70,369,9,1,0,0,43.7%,87,1.13,33.8%,18,10,2,1,159,34.1,15.00,-,12.5%,12.5%,31.3%,3.8%,19.2,43.7%,10,16,1
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),32dgfvl5v0zo942n2e2zihfdg,2026-04-04 16:30:00,c8llrezkm3b3op4afrou6b487,false,true,false,false,true,ESP,ESP,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185,D 0-0,José Manuel González Álvarez,30,114.00,25.6%,30.8%,15,19,6,30,48,28.0%,33.0%,53.7%,29,15,43,2,43,4.00,35,0,57.1%,7,10,0,116,218,130,162,70,348,13,0,0,0,45.4%,127,0.25,52.5%,21,16,1,2,178,33.7,23.00,-,20.0%,20.0%,16.0%,11.2%,16.2,45.4%,8,12,0
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2yypobxbbgweakpwxt4090v10,2026-03-21 15:15:00,c8llrezkm3b3op4afrou6b487,true,false,false,true,false,ESP,ESP,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,L 1-2,José Manuel González Álvarez,12,151.00,30.4%,41.3%,16,20,1,47,75,67.7%,62.5%,52.2%,33,20,51,5,51,13.00,32,0,48.3%,4,13,0,42,86,144,94,94,230,7,1,0,0,41.3%,179,1.81,60.3%,38,23,5,8,327,29.3,26.00,-,5.9%,11.8%,29.4%,27.1%,28.8,41.3%,15,37,4
11,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2taxjp7kgsyqb2x6zjjbiwys4,2026-03-15 13:00:00,c8llrezkm3b3op4afrou6b487,false,true,false,true,false,ESP,ESP,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,L 1-2,José Manuel González Álvarez,36,95.00,23.3%,30.0%,11,16,3,26,27,29.8%,36.0%,61.3%,20,4,32,3,32,5.00,21,0,56.2%,5,4,0,100,185,134,153,66,319,8,1,0,0,42.8%,104,0.91,60.4%,27,7,0,1,151,33.6,10.00,-,23.5%,23.5%,23.5%,25.4%,18.6,42.8%,10,14,2
