Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3w881304b6s154go90fihrjtg,2026-05-23 19:00:00,1n1j0wsl763lq7ee1k0c11c02,true,false,true,false,false,GET,GET,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,W 1-0,José Bordalás,15,117.00,51.7%,55.2%,14,11,1,19,23,53.0%,53.5%,57.2%,17,19,31,1,31,4.00,19,0,52.8%,6,6,0,57,91,108,72,70,199,7,1,0,0,45.3%,121,0.27,60.3%,39,8,4,2,155,32.4,14.00,-,26.9%,15.4%,38.5%,57.7%,23.0,45.3%,7,13,0
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3s2q5sph3bm3auk1b8odb493o,2026-05-17 17:00:00,1n1j0wsl763lq7ee1k0c11c02,false,true,false,true,false,GET,GET,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954,L 0-1,José Bordalás,9,92.00,39.5%,39.5%,8,24,1,21,29,43.7%,38.8%,58.5%,21,12,39,1,39,2.00,32,0,55.2%,6,6,0,85,132,137,116,68,269,7,0,0,0,42.8%,121,0.11,65.3%,41,11,3,3,133,30.3,16.00,-,23.5%,0.0%,35.3%,5.1%,17.4,42.8%,4,10,0
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3oazgnn4to0s2xa8mtme8o36c,2026-05-13 19:30:00,1n1j0wsl763lq7ee1k0c11c02,true,false,true,false,false,GET,GET,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,W 3-1,José Bordalás,12,130.00,51.6%,54.8%,19,14,2,31,26,46.5%,35.7%,51.9%,32,12,50,5,50,3.00,26,0,50.9%,9,5,0,58,130,165,151,86,295,7,3,0,0,42.5%,133,1.58,61.8%,29,11,5,2,188,32.0,19.00,-,5.6%,11.1%,16.7%,81.3%,20.8,42.5%,6,19,3
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3msszbu4fc0okhk1cy6k7f09g,2026-05-10 16:30:00,1n1j0wsl763lq7ee1k0c11c02,false,true,false,false,true,GET,GET,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,D 0-0,José Bordalás,9,207.00,54.1%,59.5%,20,19,1,45,56,61.5%,47.9%,46.7%,22,14,46,1,46,15.00,45,0,55.0%,4,5,0,60,114,150,114,90,264,3,0,0,0,36.6%,144,1.36,52.2%,35,15,2,3,280,33.7,15.00,-,28.6%,2.9%,22.9%,29.1%,21.8,36.6%,22,35,1
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3hwithiznhjl7ecaoxv7hemfo,2026-05-03 14:15:00,1n1j0wsl763lq7ee1k0c11c02,true,false,false,true,false,GET,GET,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,L 0-2,José Bordalás,13,150.00,59.6%,63.8%,14,13,5,31,45,70.3%,46.4%,46.2%,22,11,32,2,32,9.00,28,0,63.4%,14,10,1,45,93,172,114,106,265,5,0,0,0,48.3%,141,1.49,57.8%,29,13,6,3,221,33.1,21.00,-,29.4%,11.8%,23.5%,16.2%,21.0,48.3%,13,26,1
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3apuzcf26kfvpej8uc98l2n10,2026-04-25 14:15:00,1n1j0wsl763lq7ee1k0c11c02,true,false,false,true,false,GET,GET,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,L 0-2,José Bordalás,19,94.00,19.2%,23.1%,18,8,1,21,14,28.9%,24.0%,51.0%,12,10,27,5,27,3.00,21,0,49.7%,5,4,0,74,174,171,194,77,345,8,0,0,0,60.2%,115,1.14,35.7%,19,5,2,2,90,35.2,8.00,-,33.3%,6.7%,33.3%,16.5%,17.9,60.2%,4,17,1
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3bvyrbl5qq7s93s7yat969q1g,2026-04-22 18:00:00,1n1j0wsl763lq7ee1k0c11c02,false,true,true,false,false,GET,GET,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,W 1-0,José Bordalás,30,112.00,36.4%,45.5%,17,22,0,25,24,36.7%,31.7%,53.0%,20,13,33,5,33,2.00,36,0,63.7%,6,6,0,130,198,134,131,71,332,10,1,0,0,45.8%,115,0.12,43.8%,25,8,5,0,159,35.9,20.00,-,57.1%,4.8%,9.5%,44.2%,17.9,45.8%,5,13,0
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),348p051ww3c5h5f7yu6puqplg,2026-04-13 19:00:00,1n1j0wsl763lq7ee1k0c11c02,false,true,false,true,false,GET,GET,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,L 0-1,Patri Moreno,30,89.00,24.2%,27.3%,11,20,1,21,30,35.1%,39.2%,63.3%,20,10,36,2,36,5.00,33,0,57.8%,9,5,1,104,174,119,133,56,293,13,0,0,0,48.1%,112,0.29,45.9%,35,9,3,3,151,37.5,12.00,-,20.0%,20.0%,26.7%,11.2%,16.1,48.1%,5,14,0
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),33vcbxcbnojlxdm39q4elkutw,2026-04-05 12:00:00,1n1j0wsl763lq7ee1k0c11c02,true,false,true,false,false,GET,GET,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,W 2-0,Patri Moreno,23,110.00,27.8%,36.1%,14,22,4,28,31,33.5%,32.0%,53.8%,18,11,32,4,32,6.00,19,0,57.7%,8,10,0,94,195,118,152,67,313,11,2,0,0,49.4%,115,1.94,59.6%,27,8,1,3,127,35.8,17.00,-,16.0%,8.0%,40.0%,67.3%,15.5,49.4%,10,21,3
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2yypobxbbgweakpwxt4090v10,2026-03-21 15:15:00,1n1j0wsl763lq7ee1k0c11c02,false,true,true,false,false,GET,GET,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,W 2-1,José Bordalás,28,87.00,30.6%,41.7%,15,19,3,20,18,32.3%,37.5%,64.0%,27,6,36,4,36,8.00,14,0,51.7%,9,2,0,78,152,116,137,53,268,9,2,0,0,54.1%,126,1.51,50.6%,40,7,3,1,113,39.7,16.00,-,33.3%,13.3%,20.0%,49.6%,18.6,54.1%,10,16,3
