Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3v3zljn1yog1g4knq4uoaledw,2026-05-23 19:00:00,4grc9qgcvusllap8h5j6gc5h5,false,true,false,true,false,LEV,LEV,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185,L 1-2,Luís Manuel Ferreira de Castro,10,122.00,23.3%,26.7%,29,10,4,37,72,41.2%,33.6%,51.9%,27,12,44,6,44,11.00,32,0,45.8%,9,8,0,60,127,193,135,125,320,5,1,0,0,31.3%,105,2.53,64.9%,20,20,1,7,266,31.9,8.00,-,20.0%,16.7%,13.3%,8.7%,27.1,31.3%,15,24,4
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3sg7p1fgas9oyig0lv5gdmvis,2026-05-17 17:00:00,4grc9qgcvusllap8h5j6gc5h5,true,false,true,false,false,LEV,LEV,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,W 2-0,Luís Manuel Ferreira de Castro,16,100.00,24.1%,37.9%,13,19,3,15,33,24.0%,34.1%,63.0%,14,8,24,2,24,9.00,23,2,46.9%,3,3,0,75,168,124,149,68,292,9,1,0,1,47.7%,102,2.39,63.8%,34,11,5,1,156,34.4,13.00,-,20.0%,13.3%,13.3%,54.6%,17.5,47.7%,15,19,4
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3nxmo9ajqnht9425i3n9szevo,2026-05-12 17:00:00,4grc9qgcvusllap8h5j6gc5h5,false,true,true,false,false,LEV,LEV,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,W 3-2,Luís Manuel Ferreira de Castro,24,169.00,30.4%,39.1%,14,12,6,35,62,45.2%,39.8%,48.6%,26,19,60,9,60,9.00,56,1,49.7%,2,1,0,85,156,136,119,88,292,5,2,0,1,27.2%,115,1.52,69.0%,25,18,4,5,304,35.1,9.00,-,20.0%,0.0%,25.0%,36.1%,24.6,27.2%,14,24,3
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3kvn4dplqj7ecztktcd1afhuc,2026-05-08 19:00:00,4grc9qgcvusllap8h5j6gc5h5,true,false,true,false,false,LEV,LEV,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,W 3-2,Luís Manuel Ferreira de Castro,7,280.00,52.9%,55.9%,16,12,8,75,86,83.8%,48.7%,35.4%,20,21,53,7,53,23.00,93,2,51.1%,3,7,0,24,53,143,61,111,196,4,2,1,0,30.0%,153,2.99,51.2%,20,33,3,15,461,33.9,14.00,-,16.7%,4.8%,21.4%,38.8%,34.8,30.0%,35,52,5
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3fm6zt7nl7hs2oolj5ksug3ys,2026-05-02 12:00:00,4grc9qgcvusllap8h5j6gc5h5,false,true,false,true,false,LEV,LEV,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,L 1-5,Luís Manuel Ferreira de Castro,33,113.00,24.1%,27.6%,11,24,5,37,54,38.7%,52.2%,67.6%,33,3,43,2,43,7.00,41,0,51.9%,3,5,0,98,163,135,121,79,298,10,1,0,0,30.1%,144,0.76,54.9%,17,13,3,3,297,32.9,17.00,-,8.3%,4.2%,29.2%,11.1%,23.4,30.1%,12,18,1
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),394u1x6d00xy857x0kzh48oic,2026-04-27 19:00:00,4grc9qgcvusllap8h5j6gc5h5,false,true,false,false,true,LEV,LEV,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,D 0-0,Luís Manuel Ferreira de Castro,17,110.00,26.1%,30.4%,9,20,0,24,54,49.4%,50.7%,62.8%,34,5,44,2,44,3.00,32,0,48.3%,2,7,0,56,114,128,116,70,242,11,0,0,0,37.5%,136,1.12,52.4%,44,20,0,7,226,35.2,12.00,-,23.1%,15.4%,23.1%,18.8%,26.8,37.5%,8,22,2
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3d093m8yc27r7p3gumt3gg4d0,2026-04-23 17:00:00,4grc9qgcvusllap8h5j6gc5h5,true,false,true,false,false,LEV,LEV,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,W 2-0,Luís Manuel Ferreira de Castro,15,102.00,28.6%,34.3%,15,16,1,32,46,45.3%,41.3%,57.5%,23,14,37,2,37,4.00,22,0,50.0%,13,2,0,53,96,157,109,91,253,5,1,1,0,36.6%,113,1.53,56.3%,26,10,3,4,222,35.6,17.00,-,30.4%,13.0%,21.7%,69.4%,21.6,36.6%,8,14,2
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),348p051ww3c5h5f7yu6puqplg,2026-04-13 19:00:00,4grc9qgcvusllap8h5j6gc5h5,true,false,true,false,false,LEV,LEV,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,W 1-0,Vicente Iborra,7,180.00,39.4%,42.4%,21,14,5,35,64,64.9%,60.8%,49.8%,28,22,52,7,52,13.00,44,0,64.0%,5,12,1,57,102,121,96,70,223,5,1,0,0,37.4%,149,2.90,66.7%,28,19,6,9,270,31.5,23.00,-,13.8%,24.1%,6.9%,57.5%,30.3,37.4%,22,29,5
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),317f8nnd5kiqw5pomd91v86j8,2026-04-04 12:00:00,4grc9qgcvusllap8h5j6gc5h5,false,true,false,true,false,LEV,LEV,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,L 0-2,Luís Manuel Ferreira de Castro,29,109.00,47.8%,52.2%,13,11,4,33,34,39.7%,42.6%,58.7%,30,6,38,3,38,7.00,35,0,52.6%,8,6,0,82,137,165,135,85,302,9,0,0,0,38.4%,121,0.28,41.8%,24,16,4,3,221,37.8,7.00,-,11.1%,11.1%,22.2%,8.6%,20.2,38.4%,8,21,0
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2zc6div45o8artjqg9vrawb2s,2026-03-21 17:30:00,4grc9qgcvusllap8h5j6gc5h5,true,false,true,false,false,LEV,LEV,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,W 4-2,Luís Manuel Ferreira de Castro,18,140.00,37.0%,44.4%,18,14,6,22,26,34.9%,40.9%,56.1%,27,11,38,3,38,10.00,23,2,57.5%,6,11,0,77,153,152,152,76,305,6,3,0,1,44.2%,125,2.36,41.6%,33,6,2,1,169,31.2,23.00,-,35.0%,0.0%,40.0%,72.1%,20.3,44.2%,20,10,5
