Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3w881304b6s154go90fihrjtg,2026-05-23 19:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,false,true,false,true,false,OSA,OSA,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,L 0-1,Alessio Lisci,13,108.00,46.4%,50.0%,18,12,3,23,19,47.0%,46.5%,57.3%,15,10,25,3,25,8.00,15,0,59.8%,7,5,0,70,109,105,75,69,214,5,0,0,0,55.7%,123,0.51,55.2%,41,6,6,1,90,36.9,10.00,-,48.0%,8.0%,16.0%,18.0%,19.0,55.7%,11,24,2
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ty1scc4fcein2b664ssgnwus,2026-05-17 17:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,true,false,false,true,false,OSA,OSA,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,L 1-2,Alessio Lisci,9,225.00,50.0%,55.9%,16,17,2,64,106,74.6%,61.2%,44.0%,35,18,70,4,70,17.00,60,0,53.8%,6,8,0,42,81,127,77,89,208,3,0,1,0,33.0%,170,1.72,47.8%,18,39,9,7,428,34.7,23.00,-,20.9%,14.0%,18.6%,27.1%,34.3,33.0%,24,43,2
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3pfak8vavaxumsfvxz2yo48wk,2026-05-12 19:30:00,2l0ldgiwsgb8d6y3z0sfgjzyj,true,false,false,true,false,OSA,OSA,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,L 1-2,Alessio Lisci,15,267.00,35.9%,38.5%,20,23,4,63,67,72.0%,43.3%,33.5%,31,19,62,5,62,18.00,82,0,43.0%,4,6,0,37,80,145,86,102,225,2,1,0,0,33.5%,161,2.30,50.0%,19,22,11,6,270,32.0,16.00,-,17.1%,5.7%,25.7%,16.9%,33.8,33.5%,23,49,4
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3kvn4dplqj7ecztktcd1afhuc,2026-05-08 19:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,false,true,false,true,false,OSA,OSA,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,L 2-3,Alessio Lisci,56,47.00,33.3%,38.1%,5,18,1,12,23,16.2%,51.3%,77.1%,30,5,34,1,34,2.00,14,0,45.7%,4,1,0,128,199,81,113,39,280,17,2,0,0,42.7%,114,0.63,56.9%,29,8,3,0,165,33.3,11.00,-,14.3%,0.0%,28.6%,27.7%,18.7,42.7%,5,9,1
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3j0vwkubszbtkr21f7upb4il0,2026-05-02 19:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,true,false,false,true,false,OSA,OSA,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,L 1-2,Alessio Lisci,30,111.00,24.2%,27.3%,7,18,3,22,28,25.3%,37.6%,55.0%,19,7,28,4,28,7.00,32,0,49.8%,5,5,0,140,213,132,125,80,345,14,1,0,0,44.1%,120,0.80,57.8%,21,11,0,0,139,33.5,19.00,-,17.6%,29.4%,23.5%,19.2%,19.6,44.1%,9,15,4
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),39ifvpi5wnexvu36qh4irjbx0,2026-04-26 16:30:00,2l0ldgiwsgb8d6y3z0sfgjzyj,true,false,true,false,false,OSA,OSA,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,W 2-1,Alessio Lisci,9,183.00,46.7%,50.0%,22,14,3,56,54,59.2%,61.7%,56.0%,22,14,42,4,42,8.00,43,0,51.8%,7,2,0,58,121,110,99,74,231,6,2,0,0,35.7%,173,1.43,58.7%,39,23,9,8,267,35.7,19.00,-,31.4%,0.0%,11.4%,33.8%,25.9,35.7%,15,35,4
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3c9hm7srm769qr9qfg4prhlhw,2026-04-21 17:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,false,true,false,true,false,OSA,OSA,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,L 0-1,Alessio Lisci,15,114.00,31.0%,37.9%,9,25,2,38,84,60.1%,67.4%,66.3%,28,10,44,3,44,5.00,26,0,50.9%,6,8,0,58,102,101,85,60,203,6,0,0,0,27.7%,151,1.17,61.5%,26,21,2,3,398,36.6,21.00,-,21.1%,10.5%,5.3%,11.1%,38.9,27.7%,8,21,2
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),37mlon39zla9t9jjetz0zei38,2026-04-12 12:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,true,false,false,false,true,OSA,OSA,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185,D 1-1,Alessio Lisci,13,203.00,46.2%,51.3%,21,20,5,60,76,54.9%,47.4%,51.2%,29,11,52,11,52,8.00,65,1,51.5%,5,5,0,70,128,156,124,90,284,4,1,0,0,33.3%,151,1.45,48.2%,24,27,2,4,319,35.3,24.00,-,34.2%,7.9%,18.4%,29.8%,25.2,33.3%,12,24,1
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),31mkjysd2ypln9u9s88ge8qhg,2026-04-05 19:00:00,2l0ldgiwsgb8d6y3z0sfgjzyj,false,true,false,false,true,OSA,OSA,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,D 2-2,Alessio Lisci,24,107.00,13.0%,21.7%,13,18,1,43,59,44.4%,57.1%,60.7%,26,10,49,3,49,5.00,38,0,47.5%,8,4,0,76,135,98,109,47,232,12,2,0,0,34.0%,144,1.24,51.9%,29,16,4,1,266,39.8,6.00,-,27.8%,11.1%,11.1%,39.7%,27.9,34.0%,8,12,3
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2x2xudpjc4s1hoolcluxehudw,2026-03-21 17:30:00,2l0ldgiwsgb8d6y3z0sfgjzyj,true,false,true,false,false,OSA,OSA,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893,W 1-0,Alessio Lisci,16,168.00,21.9%,34.4%,17,18,6,52,76,49.3%,46.7%,54.6%,30,19,55,5,55,11.00,42,0,47.1%,6,13,0,80,144,167,122,109,311,3,1,0,0,27.4%,121,1.71,50.8%,25,30,6,1,383,35.0,25.00,-,33.3%,6.7%,16.7%,55.6%,28.1,27.4%,19,25,3
