Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3up18t49bq8thej74h5lgf0us,2026-05-23 19:00:00,3budh3j9xivsid3ptm8ptpy4k,false,true,true,false,false,RAY,RAY,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,W 2-1,Iñigo Pérez,27,117.00,38.2%,44.1%,18,27,3,41,54,44.8%,55.8%,62.3%,28,12,41,1,41,10.00,29,0,57.8%,4,10,0,96,147,93,93,51,240,1,2,0,0,34.7%,131,1.34,52.5%,33,14,4,3,287,34.3,11.00,-,16.7%,8.3%,16.7%,13.8%,20.2,34.7%,15,12,4
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3stn5qtfq9b7w461hrsz1y0wk,2026-05-17 17:00:00,3budh3j9xivsid3ptm8ptpy4k,true,false,true,false,false,RAY,RAY,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,W 2-0,Iñigo Pérez,30,172.00,25.8%,41.9%,28,20,8,51,63,57.0%,50.1%,55.1%,24,19,48,10,48,10.00,40,1,52.3%,10,6,0,80,131,142,99,94,273,7,2,0,0,30.4%,144,1.49,73.3%,39,27,2,4,329,35.4,17.00,-,20.0%,12.0%,16.0%,76.5%,22.1,30.4%,15,16,3
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3psr2605g4d19sdukq2711gd0,2026-05-14 17:00:00,3budh3j9xivsid3ptm8ptpy4k,false,true,false,false,true,RAY,RAY,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191,D 1-1,Iñigo Pérez,23,126.00,36.8%,39.5%,17,29,4,34,47,39.5%,53.1%,62.2%,38,12,52,1,52,3.00,37,0,48.7%,8,6,0,77,154,107,130,54,261,7,1,0,0,35.4%,143,1.16,62.5%,38,13,0,3,239,34.4,19.00,-,9.1%,9.1%,18.2%,28.3%,18.8,35.4%,6,11,3
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3je81f1r98u8rqsk99bzjwyl0,2026-05-11 19:00:00,3budh3j9xivsid3ptm8ptpy4k,true,false,false,false,true,RAY,RAY,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893,D 1-1,Iñigo Pérez,11,192.00,32.6%,39.5%,19,23,7,53,62,59.6%,58.4%,52.7%,45,18,69,13,69,13.00,62,1,57.3%,6,7,0,67,114,148,88,107,262,3,1,0,0,32.2%,156,1.20,47.6%,22,21,3,6,302,34.2,22.00,-,30.3%,15.2%,21.2%,37.4%,29.9,32.2%,18,32,2
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3hwithiznhjl7ecaoxv7hemfo,2026-05-03 14:15:00,3budh3j9xivsid3ptm8ptpy4k,false,true,true,false,false,RAY,RAY,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,W 2-0,Iñigo Pérez,28,71.00,28.9%,34.2%,16,21,1,21,24,29.7%,53.6%,68.5%,31,13,40,5,40,4.00,20,0,52.7%,1,4,0,79,148,88,116,41,236,15,2,0,0,49.0%,120,0.98,56.8%,42,11,0,3,106,32.8,23.00,-,23.5%,41.2%,17.6%,62.6%,11.3,49.0%,10,7,1
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),39yze5lq7b1227m0ry1qpjfh0,2026-04-26 12:00:00,3budh3j9xivsid3ptm8ptpy4k,true,false,false,false,true,RAY,RAY,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,D 3-3,Iñigo Pérez,35,138.00,39.3%,60.7%,20,20,3,37,68,54.9%,59.6%,60.9%,36,16,50,5,50,19.00,37,1,51.2%,6,3,1,62,110,111,96,63,221,6,3,0,0,33.0%,136,2.38,50.0%,23,19,2,6,346,31.4,22.00,-,7.7%,23.1%,7.7%,30.1%,23.0,33.0%,24,26,5
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3f8qbmbzrg2o195netsozsmxg,2026-04-23 18:00:00,3budh3j9xivsid3ptm8ptpy4k,true,false,true,false,false,RAY,RAY,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,W 1-0,Iñigo Pérez,21,124.00,43.3%,50.0%,17,23,2,30,54,44.7%,56.9%,64.5%,26,10,35,2,35,11.00,23,0,53.7%,5,2,0,72,131,101,107,53,232,11,0,0,1,35.3%,117,1.60,57.5%,34,27,4,2,201,33.2,24.00,-,23.1%,0.0%,23.1%,45.2%,19.0,35.3%,17,22,4
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),36img9yditg3x8kvo810l3ims,2026-04-12 14:15:00,3budh3j9xivsid3ptm8ptpy4k,false,true,false,true,false,RAY,RAY,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,L 0-3,Iñigo Pérez,22,155.00,28.6%,34.3%,28,18,5,60,59,54.5%,56.0%,57.0%,33,15,58,8,58,15.00,33,0,46.3%,3,4,0,56,129,116,123,66,245,6,0,0,0,37.7%,162,1.95,53.3%,29,24,6,3,326,35.3,7.00,-,23.7%,10.5%,10.5%,7.9%,25.9,37.7%,17,32,4
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),30u02n6fw3bxc2lk51wv1cowk,2026-04-03 19:00:00,3budh3j9xivsid3ptm8ptpy4k,true,false,true,false,false,RAY,RAY,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954,W 1-0,Iñigo Pérez,12,199.00,41.7%,41.7%,19,19,3,61,78,62.6%,53.9%,47.1%,27,17,51,7,51,17.00,60,0,57.1%,1,4,0,76,112,107,68,75,219,6,1,0,0,36.1%,148,1.39,56.3%,36,34,2,6,288,34.6,16.00,-,19.0%,11.9%,14.3%,55.3%,24.6,36.1%,21,29,2
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2y7mqtoumr3710vgfit7046j8,2026-03-22 13:00:00,3budh3j9xivsid3ptm8ptpy4k,false,true,false,true,false,RAY,RAY,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,L 0-1,Iñigo Pérez,22,107.00,29.0%,41.9%,22,19,4,25,45,37.2%,41.6%,60.0%,26,13,38,6,38,8.00,14,0,59.9%,8,9,0,88,175,176,166,97,351,10,0,0,0,40.5%,120,1.56,55.4%,28,20,1,0,211,33.4,27.00,-,5.3%,10.5%,15.8%,8.4%,21.9,40.5%,8,19,4
