Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3v3zljn1yog1g4knq4uoaledw,2026-05-23 19:00:00,ah8dala7suqqkj04n2l8xz4zd,true,false,true,false,false,BET,BET,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,W 2-1,Manuel Pellegrini,31,131.00,21.7%,26.1%,11,18,3,48,69,58.8%,66.4%,62.2%,58,17,87,3,87,13.00,53,1,50.0%,7,4,0,61,115,75,96,33,190,8,2,0,0,25.5%,157,1.57,47.1%,21,10,2,2,489,32.6,15.00,-,16.0%,16.0%,12.0%,71.3%,34.4,25.5%,19,7,4
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3rpa9gg887sphjnou8h1uv6s4,2026-05-17 19:15:00,ah8dala7suqqkj04n2l8xz4zd,false,true,false,true,false,BET,BET,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,L 1-3,Manuel Pellegrini,27,126.00,14.3%,17.9%,18,24,6,36,49,35.5%,38.4%,59.1%,38,9,57,9,57,6.00,38,1,50.0%,6,7,0,102,174,159,147,84,333,9,1,0,0,33.1%,136,0.97,44.7%,23,11,0,0,232,31.9,13.00,-,11.8%,11.8%,29.4%,8.5%,20.9,33.1%,7,6,1
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3njoj8cm40koxt8u94a1h3yfo,2026-05-12 18:00:00,ah8dala7suqqkj04n2l8xz4zd,true,false,true,false,false,BET,BET,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954,W 2-1,Manuel Pellegrini,15,155.00,7.4%,25.9%,16,20,7,50,73,43.9%,46.4%,55.3%,27,9,52,2,52,13.00,37,0,58.9%,4,6,0,99,184,140,151,74,324,6,2,0,0,30.3%,134,1.80,55.3%,39,21,2,2,354,34.7,12.00,-,7.4%,3.7%,29.6%,62.6%,25.4,30.3%,16,18,2
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3m24sjc20wo15f6mmkw3qeqz8,2026-05-09 19:00:00,ah8dala7suqqkj04n2l8xz4zd,false,true,false,false,true,BET,BET,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,D 2-2,Manuel Pellegrini,26,79.00,20.0%,28.0%,17,17,6,29,55,32.1%,36.2%,62.8%,25,6,39,5,39,8.00,18,0,52.0%,7,2,0,93,166,118,144,47,284,7,0,1,1,33.9%,108,1.94,61.7%,30,19,1,1,248,34.3,15.00,-,33.3%,0.0%,13.3%,51.6%,20.1,33.9%,14,6,3
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3gs6lllokoo9wk19co9k4yyac,2026-05-03 16:30:00,ah8dala7suqqkj04n2l8xz4zd,true,false,true,false,false,BET,BET,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,W 3-0,Manuel Pellegrini,19,166.00,35.5%,38.7%,17,22,7,37,48,60.3%,50.1%,54.2%,39,6,66,4,66,7.00,66,1,49.3%,10,10,0,70,119,137,110,76,256,8,3,0,0,30.4%,154,1.53,64.0%,33,15,0,1,263,33.5,16.00,-,4.8%,42.9%,9.5%,80.3%,25.4,30.4%,10,10,3
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),38r38grppqfwcb99s9ikyv6s4,2026-04-24 19:00:00,ah8dala7suqqkj04n2l8xz4zd,true,false,false,false,true,BET,BET,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,D 1-1,Manuel Pellegrini,36,209.00,31.0%,34.5%,16,21,3,59,72,51.8%,51.5%,51.9%,39,7,61,4,61,14.00,87,1,59.9%,5,4,0,112,183,129,123,77,312,3,1,0,0,31.2%,179,1.08,43.9%,23,24,1,4,488,33.9,10.00,-,12.1%,6.1%,15.2%,13.8%,31.0,31.2%,19,16,0
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3eve0z8ko67bbailw6nhbl3x0,2026-04-21 19:30:00,ah8dala7suqqkj04n2l8xz4zd,false,true,true,false,false,BET,BET,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893,W 3-2,Manuel Pellegrini,18,109.00,19.2%,38.5%,10,24,2,38,47,40.2%,47.0%,57.5%,33,18,54,5,54,3.00,19,0,53.4%,7,7,0,102,172,152,140,82,324,4,3,0,0,32.3%,145,1.04,53.1%,18,12,0,0,323,33.3,12.00,-,22.2%,22.2%,11.1%,28.1%,25.7,32.3%,7,5,2
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),37mlon39zla9t9jjetz0zei38,2026-04-12 12:00:00,ah8dala7suqqkj04n2l8xz4zd,false,true,false,false,true,BET,BET,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,D 1-1,Manuel Pellegrini,23,136.00,31.3%,31.3%,18,24,2,42,65,45.1%,52.6%,60.5%,31,9,48,5,48,4.00,48,0,48.3%,3,6,0,98,152,122,102,74,274,5,1,0,0,31.6%,142,0.55,55.9%,30,21,2,3,360,30.9,21.00,-,28.0%,8.0%,12.0%,23.6%,20.4,31.6%,8,16,0
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),32dgfvl5v0zo942n2e2zihfdg,2026-04-04 16:30:00,ah8dala7suqqkj04n2l8xz4zd,true,false,false,false,true,BET,BET,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,D 0-0,Manuel Pellegrini,6,203.00,37.1%,51.4%,20,22,2,68,93,72.0%,67.0%,47.7%,34,24,74,11,74,12.00,73,0,64.9%,4,5,2,74,123,100,84,65,223,7,0,0,0,25.2%,167,1.38,58.1%,35,24,1,4,550,33.0,9.00,-,8.3%,2.8%,16.7%,52.1%,32.5,25.2%,19,18,3
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2xuajcyluofrmnt1siit15jbo,2026-03-22 17:30:00,ah8dala7suqqkj04n2l8xz4zd,false,true,false,true,false,BET,BET,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,L 1-2,Manuel Pellegrini,23,138.00,27.5%,27.5%,19,28,1,53,68,49.4%,68.9%,65.7%,35,13,62,5,62,7.00,28,0,53.7%,5,6,0,108,158,93,81,62,251,5,1,0,0,28.9%,164,0.47,69.2%,39,15,2,3,434,36.4,22.00,-,25.0%,10.7%,14.3%,8.2%,23.3,28.9%,11,24,0
11,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2vji7tw0khxdvfeo52geb0jkk,2026-03-15 17:30:00,ah8dala7suqqkj04n2l8xz4zd,true,false,false,false,true,BET,BET,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,D 1-1,Manuel Pellegrini,9,223.00,37.5%,46.9%,23,16,4,60,55,60.4%,44.3%,45.8%,46,32,105,19,105,12.00,76,0,48.0%,4,4,0,61,115,140,104,90,255,4,0,0,1,28.2%,144,1.47,53.8%,14,16,3,5,396,33.1,5.00,-,18.9%,5.4%,16.2%,18.7%,31.1,28.2%,19,25,3
12,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2s67ol8ci5kpjktfuw80c58gk,2026-03-08 16:15:00,ah8dala7suqqkj04n2l8xz4zd,false,true,false,true,false,BET,BET,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,L 0-2,Manuel Pellegrini,14,159.00,45.5%,51.5%,17,17,5,58,88,68.1%,71.7%,53.1%,18,24,53,5,53,9.00,53,0,61.9%,6,2,0,65,116,79,89,41,195,5,0,0,0,27.6%,152,1.38,66.2%,48,23,3,3,417,32.7,13.00,-,12.5%,3.1%,3.1%,13.6%,28.0,27.6%,14,23,1
13,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2napzcxsfy1ju0ixutyi6z8yc,2026-03-01 17:30:00,ah8dala7suqqkj04n2l8xz4zd,true,false,false,false,true,BET,BET,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,D 2-2,Manuel Pellegrini,20,92.00,25.0%,37.5%,18,20,6,36,69,37.9%,48.3%,64.7%,30,11,44,3,44,6.00,26,0,51.4%,4,12,0,75,165,117,161,46,282,6,2,0,0,32.1%,135,1.56,54.4%,32,18,1,2,343,27.6,13.00,-,17.4%,21.7%,17.4%,69.6%,24.8,32.1%,9,10,3
14,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2kn874mea28rs8m0s333xmp78,2026-02-21 15:15:00,ah8dala7suqqkj04n2l8xz4zd,true,false,false,false,true,BET,BET,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,D 1-1,Manuel Pellegrini,21,166.00,13.0%,21.7%,11,22,7,44,53,48.2%,45.9%,54.3%,27,11,54,10,54,7.00,46,0,58.5%,10,7,0,86,177,139,163,67,316,9,1,0,0,32.8%,135,1.98,46.5%,28,16,1,2,320,34.6,12.00,-,14.3%,9.5%,9.5%,35.4%,30.3,32.8%,14,15,3
15,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2eyrfe9uog3f5s72qy88imxp0,2026-02-15 20:00:00,ah8dala7suqqkj04n2l8xz4zd,false,true,true,false,false,BET,BET,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,W 2-1,Manuel Pellegrini,33,88.00,20.0%,28.0%,11,20,1,30,38,25.7%,45.2%,65.4%,13,5,17,4,17,12.00,25,0,53.2%,6,5,0,126,225,91,153,37,316,15,1,0,1,33.6%,115,2.04,47.0%,31,14,2,1,233,33.0,6.00,-,14.3%,14.3%,19.0%,56.6%,20.0,33.6%,17,10,4
16,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2d48hhckok4yi8bluy55trf2s,2026-02-08 17:30:00,ah8dala7suqqkj04n2l8xz4zd,false,true,true,false,false,BET,BET,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,W 1-0,Manuel Pellegrini,28,81.00,0.0%,3.4%,7,22,1,20,36,23.2%,48.7%,67.8%,20,7,30,2,30,5.00,30,0,45.6%,7,7,0,119,200,81,127,35,281,13,0,0,1,36.1%,134,0.70,56.0%,24,8,0,2,282,33.1,13.00,-,30.0%,0.0%,10.0%,48.9%,22.5,36.1%,8,6,2
17,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),28lvz9j35a3we5r2jy9lff7dg,2026-02-01 15:15:00,ah8dala7suqqkj04n2l8xz4zd,true,false,true,false,false,BET,BET,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191,W 2-1,Manuel Pellegrini,24,193.00,37.1%,45.7%,19,15,4,46,63,63.4%,44.4%,46.3%,20,13,44,4,44,11.00,61,1,52.0%,5,4,0,65,117,141,120,73,258,8,2,0,0,31.1%,146,1.87,50.0%,35,27,1,2,357,34.4,24.00,-,24.2%,6.1%,24.2%,37.0%,25.0,31.1%,14,9,3
18,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),24ggs30od6yf2dz3uyz8zjlec,2026-01-25 20:00:00,ah8dala7suqqkj04n2l8xz4zd,false,true,false,true,false,BET,BET,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,L 1-2,Manuel Pellegrini,19,168.00,23.5%,32.4%,21,20,9,44,83,54.8%,54.8%,53.9%,30,17,55,6,55,11.00,45,0,57.9%,6,6,0,84,156,150,154,68,306,4,0,1,0,29.9%,135,1.27,56.8%,45,17,3,3,355,33.5,29.00,-,26.5%,8.8%,11.8%,6.9%,22.4,29.9%,18,20,3
19,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),212c0txlhb4ljff92d2cu5edw,2026-01-17 20:00:00,ah8dala7suqqkj04n2l8xz4zd,true,false,true,false,false,BET,BET,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,W 2-0,Manuel Pellegrini,13,185.00,53.7%,63.4%,24,16,8,57,68,69.6%,50.7%,47.8%,30,8,57,4,57,8.00,55,1,55.4%,4,2,0,46,91,131,107,69,222,6,2,0,0,31.1%,169,1.07,58.2%,24,23,1,1,406,35.7,17.00,-,14.8%,18.5%,18.5%,60.7%,24.7,31.1%,15,9,2
20,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1vn4i7o4gvzy4wej9uoz5qz9w,2026-01-10 13:00:00,ah8dala7suqqkj04n2l8xz4zd,false,true,false,false,true,BET,BET,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,D 1-1,Manuel Pellegrini,18,153.00,31.3%,34.4%,23,22,1,49,69,53.3%,60.5%,62.1%,36,12,55,6,55,11.00,46,0,51.4%,6,6,0,76,140,130,120,74,270,7,1,0,0,29.4%,166,2.24,52.9%,28,20,3,1,434,34.4,27.00,-,9.4%,15.6%,18.8%,22.2%,23.5,29.4%,15,13,7
21,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1s8ry79zt6zhqqa2eoakvm904,2026-01-04 15:15:00,ah8dala7suqqkj04n2l8xz4zd,false,true,false,true,false,BET,BET,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,L 1-5,Manuel Pellegrini,35,147.00,24.0%,32.0%,19,19,4,36,57,39.7%,38.2%,53.1%,20,13,42,5,42,10.00,38,0,49.8%,1,3,0,112,180,143,138,73,323,5,1,0,0,30.8%,124,1.06,47.3%,20,19,0,1,314,31.3,13.00,-,17.9%,14.3%,32.1%,7.0%,24.0,30.8%,13,16,1
22,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1q09wu5t41r3rdtsv757pyf4k,2025-12-21 20:00:00,ah8dala7suqqkj04n2l8xz4zd,true,false,true,false,false,BET,BET,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,W 4-0,Manuel Pellegrini,19,138.00,16.0%,24.0%,22,20,1,31,52,42.4%,53.4%,60.6%,14,13,33,5,33,13.00,34,1,57.5%,4,4,0,100,170,112,115,67,282,6,4,0,0,31.7%,120,3.30,60.0%,43,22,2,4,268,30.4,19.00,-,4.3%,26.1%,26.1%,78.9%,23.4,31.7%,19,18,7
23,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1kcl2n7fay0ptltdwj2k47tp0,2025-12-15 20:00:00,ah8dala7suqqkj04n2l8xz4zd,false,true,false,false,true,BET,BET,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,D 0-0,Manuel Pellegrini,18,103.00,30.0%,43.3%,16,17,3,27,33,38.2%,44.9%,64.8%,26,12,41,4,41,11.00,23,0,48.7%,4,5,0,96,149,121,110,64,270,11,0,0,0,40.1%,122,0.81,55.6%,22,13,0,2,211,35.1,14.00,-,22.2%,33.3%,33.3%,14.8%,17.8,40.1%,13,11,1
24,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1gkqfp2d7qi9h6k34k3mo8zkk,2025-12-06 17:30:00,ah8dala7suqqkj04n2l8xz4zd,true,false,false,true,false,BET,BET,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,L 3-5,Manuel Pellegrini,29,167.00,22.9%,37.1%,14,15,12,52,49,50.3%,31.9%,49.8%,20,10,43,12,43,13.00,45,1,55.6%,8,5,0,70,127,182,132,107,309,4,3,0,0,36.0%,123,2.51,51.9%,28,18,0,1,254,33.9,8.00,-,18.5%,11.1%,25.9%,10.1%,19.6,36.0%,17,16,3
