Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,PrlgcnesCabza,Presiones AltasP90,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,Goles desde el Area,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),ytxz0i1eppxxqupm27ktuln8,2025-10-26 15:15:00,3kq9cckrnlogidldtdie2fkbl,true,false,true,false,false,RMA,RMA,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,W 2-1,17,163.00,25.8%,41.9%,18,14,5,41,47,1,323.00,29.3%,34.2%,49.9%,21,8,35,6,35,15.00,37,0,49.1%,5,6,0,112,194,129,124,87,323,6,2,2,0,0,35.6%,98,3.63,52.9%,28,16,0,0,178,32.1,24.00,-,18.2%,13.6%,27.3%,61.4%,22.0,35.6%,23,12,4
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ubq4xhedh6kqvsb2d7cvw650,2026-05-17 17:00:00,3kq9cckrnlogidldtdie2fkbl,false,true,true,false,false,RMA,RMA,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,W 1-0,26,123.00,29.4%,29.4%,17,21,2,36,78,3,245.00,46.8%,66.4%,67.3%,25,13,46,6,46,9.00,49,0,66.5%,4,3,0,115,160,85,81,49,245,13,1,1,0,0,29.9%,159,1.00,56.9%,24,21,0,1,321,34.4,26.00,-,20.7%,20.7%,20.7%,67.6%,26.2,29.9%,12,6,2
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),16234pc0mx6bpyeqhj4i81p90,2025-11-09 15:15:00,3kq9cckrnlogidldtdie2fkbl,false,true,false,false,true,RMA,RMA,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,D 0-0,22,198.00,31.6%,50.0%,13,17,3,60,79,0,248.00,58.0%,51.3%,49.3%,22,15,40,2,40,14.00,57,0,50.3%,3,2,0,72,114,135,81,95,248,17,0,0,0,0,33.9%,151,0.98,57.1%,14,39,3,2,261,34.3,34.00,-,16.1%,9.7%,16.1%,24.7%,26.9,33.9%,21,19,1
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),4zhv5gr0aqfz7e8e32rrx6hg,2025-08-24 19:30:00,3kq9cckrnlogidldtdie2fkbl,false,true,true,false,false,RMA,RMA,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,W 3-0,16,369.00,27.8%,33.3%,26,12,10,81,115,0,203.00,79.6%,42.4%,27.7%,6,25,66,5,66,18.00,189,2,45.6%,6,5,0,41,73,130,63,99,203,4,3,3,0,0,22.3%,156,2.68,78.4%,28,36,0,1,616,34.2,44.00,-,15.2%,13.0%,15.2%,69.9%,33.0,22.3%,26,15,4
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2wpgnr91h1yid0zf4zu0y5afo,2026-03-22 20:00:00,3kq9cckrnlogidldtdie2fkbl,true,false,true,false,false,RMA,RMA,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,W 3-2,19,221.00,34.5%,55.2%,20,9,6,72,75,1,262.00,55.4%,49.4%,41.3%,18,20,52,4,52,10.00,104,2,41.5%,4,7,0,71,121,141,93,98,262,4,2,2,1,0,26.3%,147,2.41,43.3%,14,30,1,2,355,32.3,17.00,-,6.1%,12.1%,15.2%,57.1%,39.6,26.3%,17,14,5
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2sx9kf2syjyyqwaxz74i46n10,2026-03-14 20:00:00,3kq9cckrnlogidldtdie2fkbl,true,false,true,false,false,RMA,RMA,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954,W 4-1,19,162.00,16.1%,22.6%,17,24,4,53,54,1,293.00,45.6%,49.3%,55.4%,43,18,61,4,61,8.00,66,0,46.8%,6,5,0,80,162,131,153,60,293,5,2,3,0,1,32.7%,157,1.37,59.4%,29,23,0,2,290,35.6,21.00,-,10.0%,15.0%,15.0%,76.6%,27.1,32.7%,14,14,3
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3wz71k4469ny273fw5c1yavx0,2026-05-23 19:00:00,3kq9cckrnlogidldtdie2fkbl,true,false,true,false,false,RMA,RMA,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,W 4-2,12,112.00,51.6%,58.1%,14,21,3,51,88,1,142.00,61.9%,79.7%,68.0%,47,16,77,9,77,4.00,50,0,50.0%,5,1,0,38,83,59,68,36,142,7,3,3,1,0,26.7%,199,1.90,61.2%,14,18,0,1,482,37.0,17.00,-,14.8%,7.4%,14.8%,84.7%,35.6,26.7%,13,5,3
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),h6rpuztodqc4wokrpyck2zv8,2025-09-20 14:15:00,3kq9cckrnlogidldtdie2fkbl,true,false,true,false,false,RMA,RMA,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,W 2-0,13,235.00,43.9%,51.2%,18,22,5,100,97,0,183.00,78.9%,65.8%,46.4%,27,36,88,6,88,10.00,113,0,46.6%,8,8,0,48,79,104,71,64,183,3,0,1,1,0,25.1%,189,1.19,69.8%,24,21,0,2,603,36.0,30.00,-,8.6%,2.9%,11.4%,81.2%,35.4,25.1%,16,9,3
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),27t0dyh53751craqajb3o62hg,2026-02-01 13:00:00,3kq9cckrnlogidldtdie2fkbl,true,false,true,false,false,RMA,RMA,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,W 2-1,16,257.00,29.0%,45.2%,17,28,7,63,113,0,251.00,64.5%,49.3%,44.2%,20,16,61,9,61,12.00,94,1,51.4%,12,3,0,72,116,135,93,86,251,5,2,1,1,0,26.8%,156,2.21,65.7%,25,43,2,1,496,37.9,29.00,-,28.6%,2.9%,11.4%,47.5%,33.2,26.8%,16,13,3
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),77rmbjidsouxav300f54behg,2025-08-30 19:30:00,3kq9cckrnlogidldtdie2fkbl,true,false,true,false,false,RMA,RMA,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,W 2-1,14,301.00,31.4%,40.0%,17,19,4,87,92,0,222.00,71.9%,42.9%,34.7%,23,25,67,7,67,12.00,104,0,55.7%,4,11,0,49,95,127,91,82,222,6,2,2,0,0,31.4%,169,1.82,56.1%,28,37,3,1,461,34.3,18.00,-,13.6%,6.8%,11.4%,68.6%,25.1,31.4%,17,14,2
