Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3vur4jhid3p73hq5qz0t48bv8,2026-05-23 19:00:00,63f5h8t5e9qm1fqmvfkb23ghh,false,true,false,false,true,RSO,RSO,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,D 1-1,Pellegrino Matarazzo,24,124.00,37.1%,48.6%,14,19,8,34,55,56.0%,46.6%,56.6%,37,18,61,8,61,5.00,38,0,56.2%,7,5,0,59,102,134,101,76,236,11,1,0,0,35.6%,146,1.40,44.3%,26,20,2,0,222,35.1,13.00,-,23.8%,14.3%,19.0%,36.2%,21.2,35.6%,9,15,2
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3t723gzwnzh44w0jdk8bfjdhw,2026-05-17 17:00:00,63f5h8t5e9qm1fqmvfkb23ghh,true,false,false,true,false,RSO,RSO,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191,L 3-4,Pellegrino Matarazzo,18,165.00,32.6%,34.9%,32,18,6,54,74,63.0%,48.2%,49.6%,24,22,67,10,67,6.00,63,0,51.8%,9,6,0,57,107,153,101,102,260,6,2,1,0,33.1%,161,1.15,52.8%,37,20,0,3,394,37.4,21.00,-,31.4%,11.4%,17.1%,40.7%,19.5,33.1%,8,17,4
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ooiol9lfrmnu1bfpa099xhxw,2026-05-14 18:00:00,63f5h8t5e9qm1fqmvfkb23ghh,false,true,false,false,true,RSO,RSO,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893,D 1-1,Pellegrino Matarazzo,47,75.00,26.3%,31.6%,5,30,1,19,39,19.4%,65.8%,74.5%,48,10,56,5,56,4.00,26,0,51.5%,7,8,0,200,283,84,125,42,367,17,1,0,0,37.0%,148,0.34,56.3%,32,15,0,0,247,33.4,12.00,-,15.4%,15.4%,15.4%,29.6%,20.1,37.0%,6,5,1
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3m24sjc20wo15f6mmkw3qeqz8,2026-05-09 19:00:00,63f5h8t5e9qm1fqmvfkb23ghh,true,false,false,false,true,RSO,RSO,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185,D 2-2,Pellegrino Matarazzo,17,179.00,39.3%,39.3%,17,16,2,66,106,67.9%,63.8%,55.3%,47,20,81,7,81,10.00,69,0,57.0%,1,5,0,45,89,110,91,63,199,8,2,0,0,29.3%,176,2.40,50.0%,20,24,3,0,506,34.1,18.00,-,24.3%,2.7%,13.5%,24.1%,31.8,29.3%,14,17,4
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3fzj97pollbznset694q593bo,2026-05-04 19:00:00,63f5h8t5e9qm1fqmvfkb23ghh,false,true,false,true,false,RSO,RSO,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,L 0-1,Pellegrino Matarazzo,21,123.00,19.2%,30.8%,17,15,1,53,62,56.0%,60.3%,58.7%,36,8,50,2,50,5.00,44,0,50.7%,5,4,0,70,132,121,117,66,253,8,0,0,0,33.8%,162,0.16,57.4%,31,17,4,1,357,30.7,23.00,-,20.0%,8.0%,24.0%,14.1%,30.1,33.8%,6,18,1
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),39yze5lq7b1227m0ry1qpjfh0,2026-04-26 12:00:00,63f5h8t5e9qm1fqmvfkb23ghh,false,true,false,false,true,RSO,RSO,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,D 3-3,Pellegrino Matarazzo,23,121.00,30.0%,43.3%,16,18,2,30,54,45.1%,40.4%,56.1%,26,7,41,3,41,8.00,27,1,45.7%,11,12,0,63,105,161,112,91,266,12,3,0,0,40.0%,120,2.24,67.3%,23,17,1,1,197,38.0,23.00,-,21.4%,14.3%,14.3%,39.7%,24.4,40.0%,13,11,4
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3bvyrbl5qq7s93s7yat969q1g,2026-04-22 18:00:00,63f5h8t5e9qm1fqmvfkb23ghh,true,false,false,true,false,RSO,RSO,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,L 0-1,Pellegrino Matarazzo,7,204.00,54.1%,64.9%,15,16,3,64,87,63.3%,68.3%,51.0%,18,20,40,6,40,8.00,64,0,67.9%,5,3,0,76,129,103,91,65,232,9,0,0,0,38.5%,195,1.89,58.9%,52,21,2,2,425,31.5,28.00,-,16.7%,13.9%,22.2%,25.3%,29.7,38.5%,13,13,3
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),36vy9cu402k8m0goxchkpmpzo,2026-04-11 12:00:00,63f5h8t5e9qm1fqmvfkb23ghh,true,false,false,false,true,RSO,RSO,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,D 3-3,Pellegrino Matarazzo,23,157.00,33.3%,42.2%,23,21,6,55,58,52.2%,55.0%,53.6%,33,18,57,5,57,9.00,40,0,53.5%,14,6,0,83,130,151,112,86,281,7,2,0,1,35.0%,177,0.97,60.0%,37,16,0,1,354,35.1,24.00,-,20.0%,8.0%,28.0%,58.8%,21.6,35.0%,12,19,1
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),317f8nnd5kiqw5pomd91v86j8,2026-04-04 12:00:00,63f5h8t5e9qm1fqmvfkb23ghh,true,false,true,false,false,RSO,RSO,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,W 2-0,Pellegrino Matarazzo,18,156.00,35.7%,35.7%,24,10,2,56,48,60.3%,57.4%,56.5%,36,15,55,9,55,13.00,50,0,51.4%,1,7,0,56,90,117,74,77,207,6,2,0,0,33.4%,156,2.78,59.3%,25,16,1,1,286,32.2,21.00,-,5.6%,16.7%,11.1%,75.9%,32.6,33.4%,18,22,6
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2xgn2f7ghbsseb9afxdo1atqs,2026-03-20 20:00:00,63f5h8t5e9qm1fqmvfkb23ghh,false,true,false,true,false,RSO,RSO,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,L 1-3,Pellegrino Matarazzo,33,273.00,38.2%,49.1%,30,16,7,98,109,77.8%,52.4%,42.1%,31,21,78,10,78,8.00,85,0,54.6%,8,19,0,53,90,198,104,131,288,6,0,0,1,29.0%,198,1.10,68.8%,20,28,5,3,549,33.5,13.00,-,9.8%,0.0%,9.8%,3.8%,32.4,29.0%,11,24,2
