Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3vhe91racce86uhq0b3mw29sk,2026-05-23 19:00:00,10eyb18v5puw4ez03ocaug09m,false,true,false,true,false,SEV,SEV,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,L 0-1,22,161.00,24.2%,36.4%,24,15,5,45,62,47.3%,44.5%,53.3%,52,14,93,10,93,7.00,46,0,46.5%,10,4,0,60,120,120,115,65,240,8,0,0,0,30.3%,132,0.82,50.0%,23,19,2,2,340,35.0,17.00,-,42.9%,0.0%,17.9%,14.4%,21.4,30.3%,9,15,1
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ubq4xhedh6kqvsb2d7cvw650,2026-05-17 17:00:00,10eyb18v5puw4ez03ocaug09m,true,false,false,true,false,SEV,SEV,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,L 0-1,29,173.00,34.3%,40.0%,15,23,11,43,63,53.2%,33.6%,47.9%,24,18,46,4,46,14.00,43,0,56.1%,9,3,0,69,113,132,100,76,245,7,0,0,0,35.9%,129,0.72,74.1%,30,21,2,2,286,33.1,17.00,-,25.8%,6.5%,29.0%,12.9%,17.0,35.9%,14,17,0
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3q7xe5wdnb9goknf23kydt8no,2026-05-13 17:00:00,10eyb18v5puw4ez03ocaug09m,false,true,true,false,false,SEV,SEV,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,W 3-2,23,125.00,13.6%,18.2%,12,14,3,33,63,34.8%,40.3%,57.5%,19,9,37,3,37,8.00,24,3,47.1%,4,2,0,90,144,109,100,63,253,7,2,1,0,34.0%,111,0.87,67.9%,26,20,2,2,236,33.8,25.00,-,18.2%,4.5%,27.3%,26.1%,27.2,34.0%,13,15,1
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3mfg133s0kwtlbnaes34dxhxw,2026-05-09 14:15:00,10eyb18v5puw4ez03ocaug09m,true,false,true,false,false,SEV,SEV,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,W 2-1,13,159.00,40.0%,45.0%,24,15,3,35,61,65.5%,62.7%,53.9%,29,12,47,5,47,14.00,24,0,51.1%,10,5,0,45,103,110,96,72,213,6,1,0,1,36.2%,155,1.38,59.7%,37,22,4,4,276,36.3,15.00,-,29.2%,12.5%,12.5%,42.1%,24.5,36.2%,21,22,1
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3fzj97pollbznset694q593bo,2026-05-04 19:00:00,10eyb18v5puw4ez03ocaug09m,true,false,true,false,false,SEV,SEV,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,W 1-0,13,138.00,30.8%,34.6%,24,14,5,35,47,44.0%,39.7%,55.9%,27,12,41,3,41,13.00,39,0,47.2%,5,1,0,58,132,144,156,62,276,4,1,0,0,39.2%,135,1.82,58.2%,38,17,0,4,252,36.5,14.00,-,42.9%,0.0%,28.6%,62.6%,22.6,39.2%,19,17,1
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),39ifvpi5wnexvu36qh4irjbx0,2026-04-26 16:30:00,10eyb18v5puw4ez03ocaug09m,false,true,false,true,false,SEV,SEV,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,L 1-2,24,112.00,27.6%,31.0%,19,18,2,28,33,40.8%,38.3%,55.3%,22,10,40,2,40,5.00,34,0,55.2%,5,6,0,101,167,144,123,87,311,10,1,0,0,43.9%,136,0.40,50.0%,37,12,5,3,191,34.1,15.00,-,35.3%,5.9%,35.3%,24.4%,21.4,43.9%,8,19,1
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3d093m8yc27r7p3gumt3gg4d0,2026-04-23 17:00:00,10eyb18v5puw4ez03ocaug09m,false,true,false,true,false,SEV,SEV,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,L 0-2,13,106.00,25.0%,34.4%,20,19,2,35,45,54.7%,58.7%,63.7%,27,10,44,4,44,3.00,27,0,47.1%,3,7,0,48,98,110,92,67,207,3,0,0,0,38.5%,161,0.28,55.4%,25,13,2,4,248,33.8,16.00,-,20.8%,0.0%,12.5%,10.9%,25.5,38.5%,7,23,0
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3799288svdt7jtyvzloemtt04,2026-04-11 19:00:00,10eyb18v5puw4ez03ocaug09m,true,false,true,false,false,SEV,SEV,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,W 2-1,25,129.00,25.8%,32.3%,14,20,2,29,29,32.6%,32.2%,53.1%,21,12,37,7,37,8.00,33,0,56.4%,6,1,0,97,159,111,109,64,270,8,2,0,0,47.4%,120,2.01,70.2%,28,12,0,5,145,29.7,22.00,-,11.8%,17.6%,47.1%,61.3%,24.7,47.4%,11,20,3
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),33hvcbq5xmb0wo3x4r5p3w1ec,2026-04-05 16:30:00,10eyb18v5puw4ez03ocaug09m,false,true,false,true,false,SEV,SEV,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,L 0-1,12,108.00,29.0%,35.5%,15,16,2,20,22,35.1%,29.6%,48.2%,19,15,41,8,41,7.00,20,0,48.6%,14,9,0,71,131,148,135,73,279,7,0,0,0,51.2%,107,0.57,65.0%,17,4,1,1,102,37.5,12.00,-,27.8%,11.1%,33.3%,8.6%,23.5,51.2%,9,19,1
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2zpoy8pxorsqwffemhjkcff2s,2026-03-21 20:00:00,10eyb18v5puw4ez03ocaug09m,true,false,false,true,false,SEV,SEV,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191,L 0-2,14,202.00,25.6%,37.2%,33,14,6,45,60,72.2%,47.7%,46.0%,18,19,48,7,48,9.00,53,0,54.5%,5,7,0,36,82,165,105,106,247,4,0,0,0,28.1%,139,0.40,63.3%,33,26,4,4,379,34.8,13.00,-,13.8%,0.0%,17.2%,17.4%,21.4,28.1%,13,18,0
