Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3xq4alyjtlltd6j11gckoxvkk,2026-05-23 19:00:00,ba5e91hjacvma2sjvixn00pjo,true,false,true,false,false,VAL,VAL,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,W 3-1,Carlos Corberán,17,125.00,28.0%,28.0%,14,16,6,26,31,24.9%,23.9%,53.4%,18,11,28,6,28,10.00,24,1,47.1%,9,6,0,72,143,152,131,92,295,4,3,0,0,43.3%,88,1.35,57.1%,20,15,2,1,94,35.7,16.00,-,26.7%,26.7%,13.3%,34.9%,22.5,43.3%,19,16,1
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3t723gzwnzh44w0jdk8bfjdhw,2026-05-17 17:00:00,ba5e91hjacvma2sjvixn00pjo,false,true,true,false,false,VAL,VAL,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,W 4-3,Carlos Corberán,16,110.00,20.8%,41.7%,18,27,6,32,38,37.0%,51.8%,62.4%,39,16,58,3,58,7.00,38,0,43.0%,5,13,0,71,141,123,130,63,264,5,3,1,0,36.8%,150,1.67,54.3%,29,13,0,2,268,32.2,20.00,-,25.0%,10.0%,45.0%,34.7%,19.8,36.8%,13,5,4
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3psr2605g4d19sdukq2711gd0,2026-05-14 17:00:00,ba5e91hjacvma2sjvixn00pjo,true,false,false,false,true,VAL,VAL,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,D 1-1,Carlos Corberán,24,158.00,53.8%,59.0%,18,18,4,51,52,60.5%,46.9%,48.7%,33,24,56,7,56,9.00,49,1,49.2%,5,12,0,62,115,154,118,89,269,0,1,0,0,32.8%,144,0.76,66.7%,34,20,3,1,302,32.3,17.00,-,19.4%,6.5%,25.8%,26.7%,23.3,32.8%,12,16,2
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3jromoqjf4ywqhz6gv1xpo0lw,2026-05-10 14:15:00,ba5e91hjacvma2sjvixn00pjo,false,true,true,false,false,VAL,VAL,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,W 1-0,Carlos Corberán,27,89.00,16.2%,32.4%,18,15,3,13,53,29.8%,57.2%,70.9%,22,8,30,3,30,3.00,19,0,54.7%,7,7,0,117,162,94,84,55,256,7,1,0,0,33.9%,120,1.19,51.4%,45,18,1,2,256,30.6,16.00,-,23.1%,15.4%,15.4%,44.4%,23.0,33.9%,7,13,2
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3indehxonm3sorl5dn4ojvj84,2026-05-02 14:15:00,ba5e91hjacvma2sjvixn00pjo,true,false,false,true,false,VAL,VAL,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,L 0-2,Carlos Corberán,26,143.00,32.4%,44.1%,24,15,7,60,55,56.4%,50.4%,52.4%,38,15,57,5,57,9.00,45,0,48.4%,4,7,0,62,124,134,105,91,258,8,0,0,0,28.8%,135,1.02,54.8%,28,14,1,3,351,34.3,17.00,-,18.2%,4.5%,27.3%,28.7%,21.7,28.8%,12,20,1
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),380ebum8hdpxn90su6vzm4bo4,2026-04-25 16:30:00,ba5e91hjacvma2sjvixn00pjo,true,false,true,false,false,VAL,VAL,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893,W 2-1,Carlos Corberán,13,142.00,29.5%,36.4%,19,22,8,42,44,40.0%,35.0%,54.1%,34,9,47,3,47,8.00,38,1,50.9%,3,12,0,83,134,166,114,103,300,2,2,0,0,40.9%,131,1.40,47.6%,30,20,2,0,195,33.9,17.00,-,13.3%,13.3%,33.3%,58.5%,19.2,40.9%,12,15,4
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ddiuilkmzwc7z89f5cjy1pn8,2026-04-21 17:00:00,ba5e91hjacvma2sjvixn00pjo,false,true,false,false,true,VAL,VAL,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,D 1-1,Carlos Corberán,32,117.00,38.7%,38.7%,14,22,1,33,42,32.1%,48.0%,65.0%,30,9,42,4,42,8.00,29,0,51.1%,8,7,0,95,169,126,126,74,295,10,1,0,0,38.7%,135,1.68,48.3%,26,13,1,2,229,30.8,17.00,-,13.6%,9.1%,22.7%,12.5%,16.0,38.7%,10,16,2
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),363nbiu36arb8us8vuxlizqc4,2026-04-11 14:15:00,ba5e91hjacvma2sjvixn00pjo,false,true,false,true,false,VAL,VAL,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954,L 0-1,Carlos Corberán,20,144.00,34.5%,37.9%,18,11,5,37,60,42.5%,43.5%,52.7%,28,16,47,3,47,16.00,36,0,55.4%,10,4,0,77,134,108,113,52,242,10,0,0,0,35.5%,111,2.54,57.1%,29,18,0,2,217,35.5,24.00,-,8.3%,8.3%,20.8%,17.1%,26.8,35.5%,22,25,6
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),30gnuehy43on5orc9n3sh8pw4,2026-04-05 14:15:00,ba5e91hjacvma2sjvixn00pjo,true,false,false,true,false,VAL,VAL,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,L 2-3,Carlos Corberán,18,155.00,50.0%,50.0%,18,12,4,39,39,36.5%,48.0%,56.2%,36,17,65,16,65,7.00,27,0,51.4%,8,7,0,92,161,125,127,67,286,6,2,0,0,38.6%,133,0.80,56.9%,22,17,3,1,241,34.7,15.00,-,15.0%,10.0%,20.0%,36.6%,24.1,38.6%,13,23,0
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2zpoy8pxorsqwffemhjkcff2s,2026-03-21 20:00:00,ba5e91hjacvma2sjvixn00pjo,false,true,true,false,false,VAL,VAL,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,W 2-0,Carlos Corberán,22,66.00,41.2%,47.1%,17,29,3,23,34,27.8%,52.3%,70.7%,35,3,43,0,43,7.00,21,1,49.5%,2,7,0,100,165,92,114,43,257,9,2,0,0,39.9%,140,1.39,57.1%,38,8,1,0,250,34.0,17.00,-,30.8%,7.7%,30.8%,66.7%,22.4,39.9%,9,7,3
