Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3xcjz4isjg101zf0d40lxkglw,2026-05-24 19:00:00,74mcjsm72vr3l9pw2i4qfjchj,true,false,true,false,false,VIL,VIL,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,W 5-1,Marcelino García,33,150.00,20.0%,24.0%,11,21,3,42,58,42.4%,53.2%,57.9%,36,12,59,3,59,8.00,59,2,46.2%,4,5,0,109,148,79,62,56,227,6,4,0,1,31.1%,156,2.48,68.9%,23,20,1,0,332,32.4,18.00,-,5.0%,10.0%,20.0%,80.6%,30.8,31.1%,14,6,5
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3stn5qtfq9b7w461hrsz1y0wk,2026-05-17 17:00:00,74mcjsm72vr3l9pw2i4qfjchj,false,true,false,true,false,VIL,VIL,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,L 0-2,Marcelino García,21,153.00,21.4%,32.1%,21,22,6,42,58,43.0%,49.9%,59.7%,34,10,54,7,54,8.00,50,0,53.5%,5,8,0,92,151,124,101,82,275,10,0,0,0,31.7%,127,0.97,44.2%,18,23,3,1,268,33.7,23.00,-,11.1%,14.8%,22.2%,10.2%,26.3,31.7%,11,25,0
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3q7xe5wdnb9goknf23kydt8no,2026-05-13 17:00:00,74mcjsm72vr3l9pw2i4qfjchj,true,false,false,true,false,VIL,VIL,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,L 2-3,Marcelino García,23,191.00,30.0%,40.0%,8,13,2,59,68,65.2%,59.7%,52.1%,27,17,56,6,56,2.00,70,1,49.6%,3,2,0,62,100,84,70,52,184,8,2,0,0,24.6%,136,0.83,47.5%,27,24,1,2,361,34.7,20.00,-,3.4%,6.9%,3.4%,49.8%,35.5,24.6%,6,16,1
4,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3lazt464v4k6hjwcq9ljf0ums,2026-05-10 12:00:00,74mcjsm72vr3l9pw2i4qfjchj,false,true,false,false,true,VIL,VIL,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,D 1-1,Marcelino García,31,84.00,20.0%,20.0%,14,25,1,26,50,31.2%,54.2%,70.0%,56,12,70,2,70,5.00,22,0,51.3%,4,1,0,101,169,91,107,52,260,10,1,0,0,35.7%,135,1.12,53.8%,19,13,1,5,273,32.9,16.00,-,20.0%,35.0%,5.0%,25.7%,26.7,35.7%,7,8,1
5,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3fm6zt7nl7hs2oolj5ksug3ys,2026-05-02 12:00:00,74mcjsm72vr3l9pw2i4qfjchj,true,false,true,false,false,VIL,VIL,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,W 5-1,Marcelino García,18,189.00,24.3%,35.1%,16,19,4,64,51,61.3%,47.8%,53.5%,41,22,75,13,75,13.00,70,1,57.5%,3,6,0,65,120,159,124,90,279,7,2,2,1,29.9%,160,2.36,55.9%,19,21,3,0,380,34.7,20.00,-,22.2%,11.1%,13.9%,69.7%,27.4,29.9%,20,15,4
6,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3b3hklhztdbiyiwxo9qwh80lw,2026-04-26 19:00:00,74mcjsm72vr3l9pw2i4qfjchj,true,false,true,false,false,VIL,VIL,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,W 2-1,Marcelino García,27,130.00,15.2%,21.2%,12,22,4,39,61,35.9%,56.3%,64.5%,74,19,101,11,101,6.00,46,0,49.3%,11,4,0,112,170,99,97,60,269,9,2,0,0,26.6%,130,1.89,71.1%,16,25,1,1,307,33.4,23.00,-,4.3%,17.4%,13.0%,84.1%,32.2,26.6%,13,15,2
7,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3dqveie2v1c7dydqpn40ccyl0,2026-04-23 19:30:00,74mcjsm72vr3l9pw2i4qfjchj,false,true,false,false,true,VIL,VIL,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,D 1-1,Marcelino García,27,88.00,12.0%,12.0%,10,23,0,30,48,36.1%,46.6%,67.1%,43,7,62,6,62,6.00,39,1,51.5%,6,9,0,102,173,139,147,62,311,11,1,0,0,31.5%,129,1.39,50.0%,31,15,0,0,298,30.5,19.00,-,9.5%,14.3%,19.0%,43.6%,22.6,31.5%,7,8,2
8,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),34zj5er2za9qrjro5eq94ack4,2026-04-12 19:00:00,74mcjsm72vr3l9pw2i4qfjchj,false,true,true,false,false,VIL,VIL,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,W 2-1,Marcelino García,35,90.00,23.8%,28.6%,11,29,2,32,46,23.2%,54.7%,73.0%,35,10,44,4,44,8.00,29,0,49.6%,5,7,0,136,236,89,148,41,325,10,2,0,0,36.2%,137,1.30,57.1%,42,14,2,0,228,34.8,13.00,-,6.3%,18.8%,6.3%,67.2%,16.7,36.2%,12,6,3
9,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),32qxs3ohgfo1bgb2g7k7we9zo,2026-04-06 19:00:00,74mcjsm72vr3l9pw2i4qfjchj,false,true,false,true,false,VIL,VIL,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893,L 0-1,Marcelino García,27,149.00,32.3%,45.2%,18,22,6,49,41,39.8%,52.5%,59.7%,47,16,71,7,71,8.00,43,0,60.6%,10,6,0,126,195,135,119,85,330,7,0,0,0,34.5%,148,0.55,55.6%,29,18,0,1,253,35.6,24.00,-,14.3%,9.5%,19.0%,12.4%,20.8,34.5%,9,19,0
10,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2xgn2f7ghbsseb9afxdo1atqs,2026-03-20 20:00:00,74mcjsm72vr3l9pw2i4qfjchj,true,false,true,false,false,VIL,VIL,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,W 3-1,Marcelino García,23,97.00,13.6%,18.2%,14,28,3,25,45,22.2%,47.6%,71.1%,42,9,51,8,51,13.00,30,1,54.2%,3,3,0,148,246,99,151,46,345,5,3,0,0,41.2%,153,3.70,54.5%,23,18,2,0,187,32.8,17.00,-,6.7%,13.3%,33.3%,88.6%,17.7,41.2%,21,9,8
